date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
12/23/2015,20:00:00,3AF,,ROBBERY - STREET,O,FIREARM,426.0,NORTHEASTERN,,,,,STREET,1,2015-12-23
12/13/2015,19:20:00,4E,,COMMON ASSAULT,O,HANDS,111.0,CENTRAL,,,,,STREET,1,2015-12-13
12/31/2015,23:30:00,4E,3200 PELHAM AVE,COMMON ASSAULT,I,HANDS,432.0,NORTHEASTERN,Belair-Edison,-76.56775999999999,39.32243,"(39.3224300000, -76.5677600000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,23:20:00,4E,4000 FALLS RD,COMMON ASSAULT,I,HANDS,531.0,NORTHERN,Hampden,-76.63685,39.33699,"(39.3369900000, -76.6368500000)",APT/CONDO,1,2015-12-31
12/31/2015,22:15:00,4E,300 IMLA ST,COMMON ASSAULT,I,HANDS,241.0,SOUTHEASTERN,Bayview,-76.53914,39.28985,"(39.2898500000, -76.5391400000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,22:00:00,6G,4500 DERBY MANOR DR,LARCENY,I,,532.0,NORTHERN,Parklane,-76.65919,39.343720000000005,"(39.3437200000, -76.6591900000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,22:00:00,6D,,LARCENY FROM AUTO,O,,533.0,NORTHERN,,,,,STREET,1,2015-12-31
12/31/2015,21:30:00,6D,2400 E PRESTON ST,LARCENY FROM AUTO,O,,331.0,EASTERN,Broadway East,-76.58355999999999,39.305820000000004,"(39.3058200000, -76.5835600000)",STREET,1,2015-12-31
12/31/2015,21:20:00,6F,600 N LAKEWOOD AVE,LARCENY,O,,221.0,SOUTHEASTERN,McElderry Park,-76.57938,39.29825,"(39.2982500000, -76.5793800000)",STREET,1,2015-12-31
12/31/2015,21:15:00,6J,2600 MADISON ST,LARCENY,O,,323.0,EASTERN,Madison-Eastend,-76.58089,39.29999,"(39.2999900000, -76.5808900000)",STREET,1,2015-12-31
12/31/2015,20:14:00,1F,0 N POPPLETON ST,HOMICIDE,Outside,FIREARM,712.0,WESTERN,Poppleton,-76.63215,39.28953,"(39.2895300000, -76.6321500000)",Street,1,2015-12-31
12/31/2015,20:55:00,3B,200 W LEXINGTON ST,ROBBERY - STREET,O,,111.0,CENTRAL,Downtown,-76.61825999999999,39.29164,"(39.2916400000, -76.6182600000)",STREET,1,2015-12-31
12/31/2015,20:30:00,4E,1800 Saint Paul St,COMMON ASSAULT,I,HANDS,141.0,CENTRAL,Charles North,-76.61492,39.310190000000006,"(39.3101900000, -76.6149200000)",OTHER/RESI,1,2015-12-31
12/31/2015,20:30:00,5D,5200 SAINT ALBANS WAY,BURGLARY,I,,523.0,NORTHERN,Homeland,-76.62048,39.35765,"(39.3576500000, -76.6204800000)",GARAGE ON,1,2015-12-31
12/31/2015,20:25:00,4E,2900 EVERGREEN AVE,COMMON ASSAULT,I,HANDS,423.0,NORTHEASTERN,Hamilton Hills,-76.56133,39.354079999999996,"(39.3540800000, -76.5613300000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,20:22:00,6J,900 N MONROE ST,LARCENY,O,,722.0,WESTERN,Midtown-Edmondson,-76.64757,39.29912,"(39.2991200000, -76.6475700000)",STREET,1,2015-12-31
12/31/2015,20:00:00,3AF,5600 NORTHWOOD AVE,ROBBERY - STREET,O,FIREARM,523.0,NORTHERN,Cameron Village,-76.59803000000001,39.357859999999995,"(39.3578600000, -76.5980300000)",STREET,1,2015-12-31
12/31/2015,20:00:00,5A,2300 E FEDERAL ST,BURGLARY,I,,331.0,EASTERN,Broadway East,-76.58492,39.30885,"(39.3088500000, -76.5849200000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,19:50:00,3D,1700 HOMESTEAD ST,ROBBERY - COMMERCIAL,I,,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59444,39.320159999999994,"(39.3201600000, -76.5944400000)",RESTAURANT,1,2015-12-31
12/31/2015,19:30:00,6J,1000 BETHUNE RD,LARCENY,O,,922.0,SOUTHERN,Cherry Hill,-76.62508000000001,39.24406,"(39.2440600000, -76.6250800000)",PORCH/DECK,1,2015-12-31
12/31/2015,18:53:00,6D,2900 OAKFORD AVE,LARCENY FROM AUTO,I,,532.0,NORTHERN,Parklane,-76.66327,39.34146,"(39.3414600000, -76.6632700000)",UNKNOWN,1,2015-12-31
12/31/2015,18:30:00,5A,800 WILBERT AVE,BURGLARY,I,,524.0,NORTHERN,Wrenlane,-76.60409,39.34494,"(39.3449400000, -76.6040900000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,18:00:00,4E,300 W BALTIMORE ST,COMMON ASSAULT,I,HANDS,111.0,CENTRAL,Downtown,-76.61967,39.28938,"(39.2893800000, -76.6196700000)",CONVENIENC,1,2015-12-31
12/31/2015,18:00:00,5A,200 N KENWOOD AVE,BURGLARY,I,,221.0,SOUTHEASTERN,McElderry Park,-76.57776,39.29508,"(39.2950800000, -76.5777600000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,18:00:00,6D,200 N BELNORD AVE,LARCENY FROM AUTO,O,,221.0,SOUTHEASTERN,McElderry Park,-76.57855,39.29515,"(39.2951500000, -76.5785500000)",STREET,1,2015-12-31
12/31/2015,18:00:00,6E,1200 LINWORTH AVE,LARCENY,O,,413.0,NORTHEASTERN,New Northwood,-76.59877,39.34724,"(39.3472400000, -76.5987700000)",STREET,1,2015-12-31
12/31/2015,18:00:00,6E,2500 E MONUMENT ST,LARCENY,O,,323.0,EASTERN,Milton-Montford,-76.58136,39.29891,"(39.2989100000, -76.5813600000)",PARKING LO,1,2015-12-31
12/31/2015,18:00:00,6J,300 W BALTIMORE ST,LARCENY,O,,111.0,CENTRAL,Downtown,-76.61995999999999,39.289320000000004,"(39.2893200000, -76.6199600000)",ATM MACHIN,1,2015-12-31
12/31/2015,17:35:00,6B,,LARCENY,I,,611.0,NORTHWESTERN,,,,,OTHER - IN,1,2015-12-31
12/31/2015,17:00:00,5A,1800 N CHESTER ST,BURGLARY,I,,331.0,EASTERN,Broadway East,-76.58863000000001,39.31095,"(39.3109500000, -76.5886300000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,16:50:00,6C,3800 E LOMBARD ST,LARCENY,I,,223.0,SOUTHEASTERN,Baltimore Highlands,-76.56551999999999,39.2915,"(39.2915000000, -76.5655200000)",GROCERY/CO,1,2015-12-31
12/31/2015,15:45:00,7A,3300 BLOOMINGDALE RD,AUTO THEFT,O,,811.0,SOUTHWESTERN,Walbrook,-76.67286,39.31074,"(39.3107400000, -76.6728600000)",STREET,1,2015-12-31
12/31/2015,15:30:00,6E,5500 PRICE AVE,LARCENY,O,,623.0,NORTHWESTERN,Woodmere,-76.6895,39.34916,"(39.3491600000, -76.6895000000)",STREET,1,2015-12-31
12/31/2015,15:30:00,5A,2400 FOSTER AVE,BURGLARY,I,,232.0,SOUTHEASTERN,Canton,-76.5818,39.28403,"(39.2840300000, -76.5818000000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,15:30:00,7A,5200 HILLWELL RD,AUTO THEFT,O,,823.0,SOUTHWESTERN,Westgate,-76.70276,39.281890000000004,"(39.2818900000, -76.7027600000)",STREET,1,2015-12-31
12/31/2015,15:11:00,4C,3300 ROUND RD,AGG. ASSAULT,O,OTHER,922.0,SOUTHERN,Cherry Hill,-76.62595,39.24484,"(39.2448400000, -76.6259500000)",STREET,1,2015-12-31
12/31/2015,15:00:00,4E,300 CATHEDRAL ST,COMMON ASSAULT,O,HANDS,111.0,CENTRAL,Downtown,-76.61676999999999,39.2931,"(39.2931000000, -76.6167700000)",STREET,1,2015-12-31
12/31/2015,15:00:00,4E,300 CATHEDRAL ST,COMMON ASSAULT,O,HANDS,111.0,CENTRAL,Downtown,-76.61676999999999,39.2931,"(39.2931000000, -76.6167700000)",STREET,1,2015-12-31
12/31/2015,15:00:00,6G,1200 WASHINGTON BLVD,LARCENY,I,,932.0,SOUTHERN,Washington Village/Pigtow,-76.63481999999999,39.28106,"(39.2810600000, -76.6348200000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,15:00:00,6D,500 ROUNDVIEW RD,LARCENY FROM AUTO,O,,922.0,SOUTHERN,Cherry Hill,-76.62009,39.24878,"(39.2487800000, -76.6200900000)",STREET,1,2015-12-31
12/31/2015,15:00:00,5D,YORK RD,BURGLARY,I,,523.0,NORTHERN,Homeland,-76.60991,39.35503,"(39.3550300000, -76.6099100000)",OFFICE BUI,1,2015-12-31
12/31/2015,14:45:00,7A,4400 WILLSHIRE AVE,AUTO THEFT,O,,444.0,NORTHEASTERN,Frankford,-76.54678,39.337109999999996,"(39.3371100000, -76.5467800000)",PARKING LO,1,2015-12-31
12/31/2015,14:45:00,4C,500 Mcelderry St,AGG. ASSAULT,O,OTHER,312.0,EASTERN,Oldtown,-76.6036,39.29585,"(39.2958500000, -76.6036000000)",STREET,1,2015-12-31
12/31/2015,14:30:00,5A,3000 E BALTIMORE ST,BURGLARY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57432,39.292320000000004,"(39.2923200000, -76.5743200000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,14:05:00,4B,400 FONTHILL AVE,AGG. ASSAULT,I,KNIFE,832.0,SOUTHWESTERN,Gwynns Falls,-76.66349,39.27871,"(39.2787100000, -76.6634900000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,14:00:00,5D,1800 W LEXINGTON ST,BURGLARY,I,,711.0,WESTERN,Franklin Square,-76.64646,39.290620000000004,"(39.2906200000, -76.6464600000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,14:00:00,7A,2100 W LAFAYETTE AVE,AUTO THEFT,O,,722.0,WESTERN,Midtown-Edmondson,-76.65111,39.298590000000004,"(39.2985900000, -76.6511100000)",STREET,1,2015-12-31
12/31/2015,14:00:00,6E,700 N CAROLINE ST,LARCENY,O,,213.0,SOUTHEASTERN,Fells Point,-76.59664000000001,39.28325,"(39.2832500000, -76.5966400000)",STREET,1,2015-12-31
12/31/2015,13:30:00,6D,1200 EDMONDSON AV,LARCENY FROM AUTO,O,,713.0,WESTERN,Harlem Park,-76.63788000000001,39.295429999999996,"(39.2954300000, -76.6378800000)",STREET,1,2015-12-31
12/31/2015,13:30:00,6E,5500 WAYNE AVE,LARCENY,O,,622.0,NORTHWESTERN,Howard Park,-76.70763000000001,39.33044,"(39.3304400000, -76.7076300000)",STREET,1,2015-12-31
12/31/2015,13:22:00,5A,6000 BAYWOOD AVE,BURGLARY,I,,632.0,NORTHWESTERN,Cheswolde,-76.68314000000001,39.3628,"(39.3628000000, -76.6831400000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,13:14:00,8AV,1500 N MONTFORD AVE,ARSON,I,,331.0,EASTERN,Broadway East,-76.58426,39.30825,"(39.3082500000, -76.5842600000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,13:00:00,5D,900 WOODBOURNE AVE,BURGLARY,I,,523.0,NORTHERN,Cameron Village,-76.60212,39.3547,"(39.3547000000, -76.6021200000)",SCHOOL,1,2015-12-31
12/31/2015,13:00:00,4E,100 N PACA ST,COMMON ASSAULT,I,HANDS,111.0,CENTRAL,Downtown,-76.62241999999999,39.29092,"(39.2909200000, -76.6224200000)",HOSP/NURS.,1,2015-12-31
12/31/2015,13:00:00,5B,6200 BENHURST RD,BURGLARY,I,,632.0,NORTHWESTERN,Cheswolde,-76.68983,39.366279999999996,"(39.3662800000, -76.6898300000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,13:00:00,5A,2500 WILLOW GLEN DR,BURGLARY,I,,632.0,NORTHWESTERN,Cheswolde,-76.68144000000001,39.37193,"(39.3719300000, -76.6814400000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,13:00:00,5F,900 WOODBOURNE AVE,BURGLARY,I,,523.0,NORTHERN,Cameron Village,-76.60212,39.3547,"(39.3547000000, -76.6021200000)",SCHOOL,1,2015-12-31
12/31/2015,13:00:00,5D,900 WOODBOURNE AVE,BURGLARY,I,,523.0,NORTHERN,Cameron Village,-76.60212,39.3547,"(39.3547000000, -76.6021200000)",SCHOOL,1,2015-12-31
12/31/2015,13:00:00,6G,700 MCCABE AVE,LARCENY,I,,524.0,NORTHERN,Winston-Govans,-76.60625999999999,39.35224,"(39.3522400000, -76.6062600000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,12:40:00,4C,1700 N CAREY ST,AGG. ASSAULT,O,OTHER,742.0,WESTERN,Sandtown-Winchester,-76.64265,39.3087,"(39.3087000000, -76.6426500000)",STREET,1,2015-12-31
12/31/2015,12:30:00,5A,6700 WESTBROOK RD,BURGLARY,I,,632.0,NORTHWESTERN,Cross Country,-76.69595,39.36858,"(39.3685800000, -76.6959500000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,12:30:00,3NO,200 E BALTIMORE ST,ROBBERY - STREET,O,OTHER,111.0,CENTRAL,Downtown,-76.6121,39.28968,"(39.2896800000, -76.6121000000)",STREET,1,2015-12-31
12/31/2015,12:30:00,4E,3700 EVERGREEN AVE,COMMON ASSAULT,I,HANDS,425.0,NORTHEASTERN,Glenham-Belhar,-76.55005,39.34689,"(39.3468900000, -76.5500500000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,12:20:00,6G,400 E 33RD ST,LARCENY,I,,512.0,NORTHERN,Oakenshawe,-76.6101,39.32849,"(39.3284900000, -76.6101000000)",BARBER/BEA,1,2015-12-31
12/31/2015,12:00:00,6J,500 N MONTFORD AVE,LARCENY,I,,221.0,SOUTHEASTERN,McElderry Park,-76.58357,39.29707,"(39.2970700000, -76.5835700000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,12:00:00,5A,800 S DALLAS ST,BURGLARY,I,,213.0,SOUTHEASTERN,Fells Point,-76.59581,39.28229,"(39.2822900000, -76.5958100000)",ROW/TOWNHO,1,2015-12-31
12/31/2015,12:00:00,6E,6600 Vincent Ln,LARCENY,O,,631.0,NORTHWESTERN,Reisterstown Station,-76.70859,39.35508,"(39.3550800000, -76.7085900000)",STREET,1,2015-12-31
