date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
07/31/2015,23:59:00,6D,0 S CULVER ST,LARCENY FROM AUTO,O,,842.0,SOUTHWESTERN,Saint Josephs,-76.6776,39.285759999999996,"(39.2857600000, -76.6776000000)",PARKING LO,1,2015-07-31
07/31/2015,23:55:00,6B,200 KEY HWY,LARCENY,O,,112.0,CENTRAL,Inner Harbor,-76.61119000000001,39.28071,"(39.2807100000, -76.6111900000)",STREET,1,2015-07-31
07/31/2015,23:50:00,4E,400 N CLINTON ST,COMMON ASSAULT,I,HANDS,224.0,SOUTHEASTERN,Ellwood Park/Monument,-76.57054000000001,39.296170000000004,"(39.2961700000, -76.5705400000)",ROW/TOWNHO,1,2015-07-31
07/31/2015,23:45:00,7A,2100 MCCULLOH ST,AUTO THEFT,O,,131.0,CENTRAL,Druid Heights,-76.63575,39.30894,"(39.3089400000, -76.6357500000)",STREET,1,2015-07-31
07/31/2015,23:30:00,4A,2400 E BIDDLE ST,AGG. ASSAULT,O,FIREARM,331.0,EASTERN,Broadway East,-76.58397,39.30473,"(39.3047300000, -76.5839700000)",STREET,1,2015-07-31
07/31/2015,23:30:00,7A,200 N VINCENT ST,AUTO THEFT,O,,711.0,WESTERN,Franklin Square,-76.64325,39.29075,"(39.2907500000, -76.6432500000)",STREET,1,2015-07-31
07/31/2015,23:30:00,7A,3200 MONDAWMIN,AUTO THEFT,O,,641.0,NORTHWESTERN,Hanlon-Longwood,-76.67201999999999,39.31534,"(39.3153400000, -76.6720200000)",STREET,1,2015-07-31
07/31/2015,23:30:00,7A,2500 W FOREST PARK AVE,AUTO THEFT,O,,611.0,NORTHWESTERN,Burleith-Leighton,-76.65809,39.31913,"(39.3191300000, -76.6580900000)",STREET,1,2015-07-31
07/31/2015,23:25:00,4C,2200 MCCULLOH ST,AGG. ASSAULT,O,OTHER,131.0,CENTRAL,Druid Heights,-76.63668,39.30969,"(39.3096900000, -76.6366800000)",STREET,1,2015-07-31
07/31/2015,23:25:00,4C,2200 MCCULLOH ST,AGG. ASSAULT,O,OTHER,131.0,CENTRAL,Druid Heights,-76.63668,39.30969,"(39.3096900000, -76.6366800000)",STREET,1,2015-07-31
