date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
02/28/2017,23:50:00,6D,2400 KEYWORTH AVE,LARCENY FROM AUTO,O,,533.0,NORTHERN,Greenspring,-76.65902,39.33487,"(39.3348700000, -76.6590200000)",STREET,1,2017-02-28
02/28/2017,23:50:00,6D,2400 KEYWORTH AVE,LARCENY FROM AUTO,O,,533.0,NORTHERN,Greenspring,-76.65902,39.33487,"(39.3348700000, -76.6590200000)",STREET,1,2017-02-28
02/28/2017,23:36:00,4D,200 DIENER PL,AGG. ASSAULT,I,HANDS,843.0,SOUTHWESTERN,Irvington,-76.68782,39.28303,"(39.2830300000, -76.6878200000)",APT/CONDO,1,2017-02-28
02/28/2017,23:02:00,4E,1800 N MOUNT ST,COMMON ASSAULT,I,HANDS,742.0,WESTERN,Sandtown-Winchester,-76.64498,39.30924,"(39.3092400000, -76.6449800000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,23:00:00,6D,200 S CLINTON ST,LARCENY FROM AUTO,O,,231.0,SOUTHEASTERN,Highlandtown,-76.57019,39.28946,"(39.2894600000, -76.5701900000)",STREET,1,2017-02-28
02/28/2017,22:00:00,6E,1300 TOWSON ST,LARCENY,O,,943.0,SOUTHERN,Locust Point,-76.59118000000001,39.27071,"(39.2707100000, -76.5911800000)",STREET,1,2017-02-28
02/28/2017,21:40:00,6D,1000 WILMOT CT,LARCENY FROM AUTO,O,,312.0,EASTERN,Oldtown,-76.60341,39.29936,"(39.2993600000, -76.6034100000)",STREET,1,2017-02-28
02/28/2017,21:40:00,6J,2400 PENNSYLVANIA AVE,LARCENY,O,,733.0,WESTERN,Penn North,-76.64177,39.30942,"(39.3094200000, -76.6417700000)",STREET,1,2017-02-28
02/28/2017,21:30:00,6D,2100 KOKO LN,LARCENY FROM AUTO,O,,731.0,WESTERN,Panway/Braddish Avenue,-76.66332,39.31178,"(39.3117800000, -76.6633200000)",STREET,1,2017-02-28
02/28/2017,21:30:00,5D,1500 STACK ST,BURGLARY,I,,943.0,SOUTHERN,Riverside,-76.60336,39.27215,"(39.2721500000, -76.6033600000)",OTHER/RESI,1,2017-02-28
02/28/2017,21:10:00,3AF,800 W LEXINGTON ST,ROBBERY - STREET,O,FIREARM,712.0,WESTERN,Poppleton,-76.63105999999999,39.29105,"(39.2910500000, -76.6310600000)",STREET,1,2017-02-28
02/28/2017,21:00:00,6E,4700 SIMMS AVE,LARCENY,O,,426.0,NORTHEASTERN,Waltherson,-76.56119,39.3351,"(39.3351000000, -76.5611900000)",STREET,1,2017-02-28
02/28/2017,21:00:00,5D,700 N PATTERSON PARK AVE,BURGLARY,I,,321.0,EASTERN,Middle East,-76.5852,39.29937,"(39.2993700000, -76.5852000000)",GROCERY/CO,1,2017-02-28
02/28/2017,20:33:00,3AF,200 N EDGEWOOD ST,ROBBERY - STREET,O,FIREARM,843.0,SOUTHWESTERN,Allendale,-76.67585,39.29045,"(39.2904500000, -76.6758500000)",STREET,1,2017-02-28
02/28/2017,20:30:00,4F,1000 SHELLBANKS RD,ASSAULT BY THREAT,I,,922.0,SOUTHERN,Cherry Hill,-76.62938,39.24892,"(39.2489200000, -76.6293800000)",APT/CONDO,1,2017-02-28
02/28/2017,20:15:00,4E,1200 GITTINGS AVE,COMMON ASSAULT,I,HANDS,414.0,NORTHEASTERN,Idlewood,-76.59226,39.37027,"(39.3702700000, -76.5922600000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,20:00:00,6E,4100 TOWNSEND AVE,LARCENY,O,,913.0,SOUTHERN,Brooklyn,-76.60333,39.22852,"(39.2285200000, -76.6033300000)",STREET,1,2017-02-28
02/28/2017,19:19:00,3GK,600 W 33RD ST,ROBBERY - COMMERCIAL,I,KNIFE,531.0,NORTHERN,Wyman Park,-76.62735,39.3271,"(39.3271000000, -76.6273500000)",CONVENIENC,1,2017-02-28
02/28/2017,19:15:00,4E,3500 GREENMOUNT AVE,COMMON ASSAULT,I,HANDS,543.0,NORTHERN,Waverly,-76.60942,39.33133,"(39.3313300000, -76.6094200000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,19:11:00,4B,2200 FLEETWOOD AVE,AGG. ASSAULT,I,KNIFE,423.0,NORTHEASTERN,Hamilton Hills,-76.56844,39.3672,"(39.3672000000, -76.5684400000)",APT/CONDO,1,2017-02-28
02/28/2017,19:10:00,3B,100 S CHARLES ST,ROBBERY - STREET,O,,113.0,CENTRAL,Downtown West,-76.615,39.28753,"(39.2875300000, -76.6150000000)",STREET,1,2017-02-28
02/28/2017,19:00:00,6D,1600 APPLETON ST,LARCENY FROM AUTO,O,,741.0,WESTERN,Easterwood,-76.64881,39.30676,"(39.3067600000, -76.6488100000)",STREET,1,2017-02-28
02/28/2017,19:00:00,6E,4000 SPRUCE DR,LARCENY,O,,533.0,NORTHERN,Greenspring,-76.65743,39.33701,"(39.3370100000, -76.6574300000)",STREET,1,2017-02-28
02/28/2017,19:00:00,6D,2900 WASHINGTON BLVD,LARCENY FROM AUTO,I,,831.0,SOUTHWESTERN,Morrell Park,-76.65854,39.26119,"(39.2611900000, -76.6585400000)",OTHER - IN,1,2017-02-28
02/28/2017,19:00:00,3AJF,0 CHERRY HILL RD,ROBBERY - CARJACKING,O,FIREARM,922.0,SOUTHERN,Middle Branch/Reedbird Pa,-76.61681,39.25266,"(39.2526600000, -76.6168100000)",STREET,1,2017-02-28
02/28/2017,18:45:00,6D,1600 E EAGER ST,LARCENY FROM AUTO,O,,313.0,EASTERN,Gay Street,-76.59609,39.30178,"(39.3017800000, -76.5960900000)",BUS. PARK,1,2017-02-28
02/28/2017,18:40:00,5A,800 PONTIAC AVE,BURGLARY,I,,913.0,SOUTHERN,Brooklyn,-76.59953,39.23422,"(39.2342200000, -76.5995300000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,18:30:00,6B,2000 EDMONDSON AVE,LARCENY,O,,722.0,WESTERN,Midtown-Edmondson,-76.64916,39.295120000000004,"(39.2951200000, -76.6491600000)",STREET,1,2017-02-28
02/28/2017,18:23:00,3CK,0 E 25TH ST,ROBBERY - COMMERCIAL,,KNIFE,514.0,NORTHERN,Old Goucher,-76.61609,39.317840000000004,"(39.3178400000, -76.6160900000)",,1,2017-02-28
02/28/2017,18:20:00,4F,500 N CALVERT ST,ASSAULT BY THREAT,,,142.0,CENTRAL,Mount Vernon,-76.61277,39.295390000000005,"(39.2953900000, -76.6127700000)",,1,2017-02-28
02/28/2017,18:00:00,5D,300 N GAY ST,BURGLARY,I,,211.0,EASTERN,Jonestown,-76.60721,39.29385,"(39.2938500000, -76.6072100000)",CARRY OUT,1,2017-02-28
02/28/2017,18:00:00,6D,0 W SARATOGA ST,LARCENY FROM AUTO,I,,111.0,CENTRAL,Downtown,-76.61618,39.29288,"(39.2928800000, -76.6161800000)",PARKING LO,1,2017-02-28
02/28/2017,18:00:00,6D,1200 N CAROLINE ST,LARCENY FROM AUTO,O,,343.0,EASTERN,Oliver,-76.59801999999999,39.30446,"(39.3044600000, -76.5980200000)",STREET,1,2017-02-28
02/28/2017,18:00:00,4E,3500 EDMONDSON AVE,COMMON ASSAULT,O,HANDS,844.0,SOUTHWESTERN,Edgewood,-76.67567,39.294090000000004,"(39.2940900000, -76.6756700000)",STREET,1,2017-02-28
02/28/2017,18:00:00,6G,1500 LIGHT ST,LARCENY,I,,942.0,SOUTHERN,South Baltimore,-76.61173000000001,39.27234,"(39.2723400000, -76.6117300000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,17:30:00,6D,0 W BIDDLE ST,LARCENY FROM AUTO,O,,141.0,CENTRAL,Mid-Town Belvedere,-76.61615,39.3034,"(39.3034000000, -76.6161500000)",STREET,1,2017-02-28
02/28/2017,17:30:00,5B,1200 SLATER RD,BURGLARY,I,,922.0,SOUTHERN,Cherry Hill,-76.63212,39.24905,"(39.2490500000, -76.6321200000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,17:24:00,7A,1200 JAMES ST,AUTO THEFT,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.63579,39.28188,"(39.2818800000, -76.6357900000)",STREET,1,2017-02-28
02/28/2017,17:20:00,5D,2700 HAWKINS POINT RD,BURGLARY,I,,911.0,SOUTHERN,Hawkins Point,-76.56426,39.20406,"(39.2040600000, -76.5642600000)",OTHER - IN,1,2017-02-28
02/28/2017,17:00:26,2A,3000 HARVIEW AVE,RAPE,I,OTHER,424.0,NORTHEASTERN,North Harford Road,-76.54565,39.36857,"(39.3685700000, -76.5456500000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,17:00:00,7A,5200 DENMORE AVE,AUTO THEFT,O,,633.0,NORTHWESTERN,Arlington,-76.67805,39.3487,"(39.3487000000, -76.6780500000)",STREET,1,2017-02-28
02/28/2017,17:00:00,5C,2000 WOODBOURNE AVE,BURGLARY,I,,423.0,NORTHEASTERN,Hamilton Hills,-76.57405,39.355340000000005,"(39.3553400000, -76.5740500000)",APT/CONDO,1,2017-02-28
02/28/2017,16:12:00,1F,1500 PENNSYLVANIA AV,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,Upton,-76.63285,39.302040000000005,"(39.3020400000, -76.6328500000)",Street,1,2017-02-28
02/28/2017,16:50:00,3B,2600 N LONGWOOD ST,ROBBERY - STREET,,,641.0,NORTHWESTERN,Hanlon-Longwood,-76.66808,39.31623,"(39.3162300000, -76.6680800000)",,1,2017-02-28
02/28/2017,16:00:00,6E,1800 N CAREY ST,LARCENY,O,,742.0,WESTERN,Sandtown-Winchester,-76.6437,39.3097,"(39.3097000000, -76.6437000000)",STREET,1,2017-02-28
02/28/2017,16:00:00,5B,900 HOMESTEAD ST,BURGLARY,I,,513.0,NORTHERN,Better Waverly,-76.60387,39.32542,"(39.3254200000, -76.6038700000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,16:00:00,4E,,COMMON ASSAULT,,HANDS,425.0,NORTHEASTERN,,,,,,1,2017-02-28
02/28/2017,16:00:00,6G,3900 FLOWERTON RD,LARCENY,I,,844.0,SOUTHWESTERN,Edmondson Village,-76.68241,39.29862,"(39.2986200000, -76.6824100000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,14:50:00,4C,100 N CHESTER ST,AGG. ASSAULT,I,OTHER,212.0,SOUTHEASTERN,Butcher's Hill,-76.58756,39.29347,"(39.2934700000, -76.5875600000)",SCHOOL,1,2017-02-28
02/28/2017,14:30:00,4E,1400 N CAROLINE ST,COMMON ASSAULT,I,HANDS,343.0,EASTERN,Oliver,-76.59815,39.30642,"(39.3064200000, -76.5981500000)",SCHOOL,1,2017-02-28
02/28/2017,14:17:00,6C,3400 CLIFTON AVE,LARCENY,I,,812.0,SOUTHWESTERN,Mount Holly,-76.67566,39.31089,"(39.3108900000, -76.6756600000)",SPECIALTY,1,2017-02-28
02/28/2017,14:03:57,2A,0 S EUTAW ST,RAPE,I,OTHER,111.0,CENTRAL,Downtown,-76.62083,39.2883,"(39.2883000000, -76.6208300000)",APT/CONDO,1,2017-02-28
02/28/2017,14:00:00,4E,4900 GOODNOW RD,COMMON ASSAULT,O,HANDS,443.0,NORTHEASTERN,Frankford,-76.54895,39.3273,"(39.3273000000, -76.5489500000)",STREET,1,2017-02-28
02/28/2017,13:50:00,5A,2800 CHESTERFIELD AVE,BURGLARY,I,,432.0,NORTHEASTERN,Belair-Edison,-76.57117,39.325959999999995,"(39.3259600000, -76.5711700000)",ROW/TOWNHO,1,2017-02-28
02/28/2017,13:30:00,3B,2100 E FAIRMOUNT AVE,ROBBERY - STREET,O,,212.0,SOUTHEASTERN,Butcher's Hill,-76.5874,39.29292,"(39.2929200000, -76.5874000000)",STREET,1,2017-02-28
02/28/2017,13:30:00,6E,3800 LIBERTY HEIGHTS AVE,LARCENY,O,,642.0,NORTHWESTERN,Callaway-Garrison,-76.68160999999999,39.32714,"(39.3271400000, -76.6816100000)",STREET,1,2017-02-28
02/28/2017,13:20:00,6D,3900 EASTERN AVE,LARCENY FROM AUTO,O,,231.0,SOUTHEASTERN,Highlandtown,-76.5643,39.28675,"(39.2867500000, -76.5643000000)",STREET,1,2017-02-28
02/28/2017,13:10:00,6G,100 W FRANKLIN ST,LARCENY,,,142.0,CENTRAL,Mount Vernon,-76.61731,39.29506,"(39.2950600000, -76.6173100000)",,1,2017-02-28
02/28/2017,13:00:00,4E,700 POPLAR GROVE ST,COMMON ASSAULT,I,HANDS,721.0,SOUTHWESTERN,Mosher,-76.66496,39.29586,"(39.2958600000, -76.6649600000)",OTHER - IN,1,2017-02-28
