date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
04/25/2012,14:30:00,6D,,LARCENY FROM AUTO,O,,315.0,EASTERN,,,,,STREET,1,2012-04-25
04/30/2012,23:56:00,4E,5100 GOODNOW RD,COMMON ASSAULT,I,HANDS,443.0,NORTHEASTERN,Frankford,-76.54378,39.32597,"(39.3259700000, -76.5437800000)",APT/CONDO,1,2012-04-30
04/30/2012,23:56:00,4E,5100 GOODNOW RD,COMMON ASSAULT,I,HANDS,443.0,NORTHEASTERN,Frankford,-76.54378,39.32597,"(39.3259700000, -76.5437800000)",APT/CONDO,1,2012-04-30
04/30/2012,23:56:00,4E,5100 GOODNOW RD,COMMON ASSAULT,I,HANDS,443.0,NORTHEASTERN,Frankford,-76.54378,39.32597,"(39.3259700000, -76.5437800000)",APT/CONDO,1,2012-04-30
04/30/2012,23:40:00,8J,1100 COVINGTON ST,ARSON,I,,943.0,SOUTHERN,Riverside,-76.60701,39.2771,"(39.2771000000, -76.6070100000)",SCHOOL,1,2012-04-30
04/30/2012,23:30:00,6E,0 CONKLING ST,LARCENY,O,,223.0,SOUTHEASTERN,Baltimore Highlands,-76.56752,39.2926,"(39.2926000000, -76.5675200000)",STREET,1,2012-04-30
04/30/2012,23:30:00,7A,6000 ALTA AV,AUTO THEFT,O,,425.0,NORTHEASTERN,Glenham-Belhar,-76.545,39.352920000000005,"(39.3529200000, -76.5450000000)",YARD,1,2012-04-30
04/30/2012,23:00:00,6E,2600 E FAIRMOUNT AV,LARCENY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57975,39.29323,"(39.2932300000, -76.5797500000)",OTHER - IN,1,2012-04-30
04/30/2012,23:00:00,3B,900 MC CULLOH ST,ROBBERY - STREET,O,,123.0,CENTRAL,Upton,-76.62361999999999,39.299170000000004,"(39.2991700000, -76.6236200000)",STREET,1,2012-04-30
04/30/2012,22:57:00,9S,4100 AUDREY AV,SHOOTING,Outside,FIREARM,913.0,SOUTHERN,Brooklyn,-76.60356,39.23028,"(39.2302800000, -76.6035600000)",Street,1,2012-04-30
04/30/2012,22:50:00,5A,5400 WILLOWMERE WY,BURGLARY,I,,523.0,NORTHERN,Homeland,-76.61114,39.35624,"(39.3562400000, -76.6111400000)",OTHER/RESI,1,2012-04-30
04/30/2012,22:40:00,4E,200 E 23RD ST,COMMON ASSAULT,O,HANDS,514.0,NORTHERN,Barclay,-76.61325,39.31539,"(39.3153900000, -76.6132500000)",STREET,1,2012-04-30
04/30/2012,22:18:00,4E,1200 S HOWARD ST,COMMON ASSAULT,I,HANDS,132.0,CENTRAL,Bolton Hill,-76.62098,39.306329999999996,"(39.3063300000, -76.6209800000)",LIGHT RAIL,1,2012-04-30
04/30/2012,22:15:00,6D,3400 FLEET ST,LARCENY FROM AUTO,O,,232.0,SOUTHEASTERN,Canton,-76.56885,39.28556,"(39.2855600000, -76.5688500000)",STREET,1,2012-04-30
04/30/2012,22:10:00,6G,2200 WILKENS AV,LARCENY,I,,841.0,SOUTHWESTERN,Carrollton Ridge,-76.65093,39.28055,"(39.2805500000, -76.6509300000)",ROW/TOWNHO,1,2012-04-30
04/30/2012,22:10:00,6B,ST & E GITTINGS ST,LARCENY,O,,942.0,SOUTHERN,South Baltimore,-76.61197,39.27422,"(39.2742200000, -76.6119700000)",STREET,1,2012-04-30
04/30/2012,22:00:00,4B,1800 GUILFORD AVE,AGG. ASSAULT,O,KNIFE,311.0,EASTERN,Greenmount West,-76.61238,39.31001,"(39.3100100000, -76.6123800000)",STREET,1,2012-04-30
04/30/2012,22:00:00,6E,800 BETHUNE RD,LARCENY,O,,922.0,SOUTHERN,Cherry Hill,-76.62164,39.24553,"(39.2455300000, -76.6216400000)",PARKING LO,1,2012-04-30
04/30/2012,21:45:00,6D,0 N MONTFORD AV,LARCENY FROM AUTO,O,,221.0,SOUTHEASTERN,Patterson Place,-76.58329,39.29251,"(39.2925100000, -76.5832900000)",STREET,1,2012-04-30
04/30/2012,21:30:00,6D,200 E 27TH ST,LARCENY FROM AUTO,O,,512.0,NORTHERN,Charles Village,-76.61431,39.32078,"(39.3207800000, -76.6143100000)",STREET,1,2012-04-30
04/30/2012,20:30:00,6C,200 E PRATT ST,LARCENY,I,,112.0,CENTRAL,Inner Harbor,-76.61204000000001,39.286590000000004,"(39.2865900000, -76.6120400000)",RETAIL/SMA,1,2012-04-30
04/30/2012,20:30:00,6D,0 W FRANKLIN ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.61572,39.29507,"(39.2950700000, -76.6157200000)",STREET,1,2012-04-30
04/30/2012,20:00:00,7A,3900 S HANOVER ST,AUTO THEFT,O,,913.0,SOUTHERN,Brooklyn,-76.61119000000001,39.23532,"(39.2353200000, -76.6111900000)",ALLEY,1,2012-04-30
04/30/2012,19:36:00,3B,200 DAVIS ST,ROBBERY - STREET,O,,111.0,CENTRAL,Downtown,-76.61197,39.29139,"(39.2913900000, -76.6119700000)",STREET,1,2012-04-30
04/30/2012,19:35:00,4E,3200 SHELBURNE RD,COMMON ASSAULT,O,HANDS,632.0,NORTHWESTERN,Cross Country,-76.70085999999999,39.37169,"(39.3716900000, -76.7008600000)",STREET,1,2012-04-30
04/30/2012,19:30:00,6D,1900 ALICEANNA ST,LARCENY FROM AUTO,I,,213.0,SOUTHEASTERN,Fells Point,-76.58976,39.28371,"(39.2837100000, -76.5897600000)",PARKING LO,1,2012-04-30
04/30/2012,19:20:00,5A,2800 MAYFIELD AV,BURGLARY,I,,432.0,NORTHEASTERN,Belair-Edison,-76.57403000000001,39.322990000000004,"(39.3229900000, -76.5740300000)",ROW/TOWNHO,1,2012-04-30
04/30/2012,19:00:00,5D,5000 LINDSAY RD,BURGLARY,I,,823.0,SOUTHWESTERN,West Hills,-76.70940999999999,39.29464,"(39.2946400000, -76.7094100000)",ROW/TOWNHO,1,2012-04-30
04/30/2012,19:00:00,6J,1700 ALICEANNA ST,LARCENY,I,,213.0,SOUTHEASTERN,Fells Point,-76.59214,39.283609999999996,"(39.2836100000, -76.5921400000)",APT/CONDO,1,2012-04-30
04/30/2012,19:00:00,5D,3900 ROSECREST AV,BURGLARY,O,,632.0,NORTHWESTERN,Glen,-76.69605,39.35491,"(39.3549100000, -76.6960500000)",SHED/GARAG,1,2012-04-30
04/30/2012,19:00:00,6G,100 E PRATT ST,LARCENY,I,,112.0,CENTRAL,Inner Harbor,-76.61332,39.286570000000005,"(39.2865700000, -76.6133200000)",RESTAURANT,1,2012-04-30
04/30/2012,19:00:00,6D,1600 ST PAUL ST,LARCENY FROM AUTO,O,,141.0,CENTRAL,Charles North,-76.61466,39.30725,"(39.3072500000, -76.6146600000)",STREET,1,2012-04-30
04/30/2012,18:42:00,4E,2100 PARKSLEY AV,COMMON ASSAULT,I,HANDS,831.0,SOUTHWESTERN,Morrell Park,-76.65038,39.26376,"(39.2637600000, -76.6503800000)",OTHER/RESI,1,2012-04-30
04/30/2012,18:30:00,6F,100 LANVALE ST,LARCENY,,,141.0,CENTRAL,Charles North,-76.61471,39.30883,"(39.3088300000, -76.6147100000)",,1,2012-04-30
04/30/2012,18:30:00,5C,5200 GOODNOW RD,BURGLARY,I,,443.0,NORTHEASTERN,Frankford,-76.54408000000001,39.32498,"(39.3249800000, -76.5440800000)",APT/CONDO,1,2012-04-30
04/30/2012,18:15:00,4E,2400 NORTH AVE,COMMON ASSAULT,O,HANDS,332.0,EASTERN,Berea,-76.58374,39.31264,"(39.3126400000, -76.5837400000)",STREET,1,2012-04-30
