date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
01/31/2012,23:30:00,5A,900 FAWN ST,BURGLARY,I,,211.0,SOUTHEASTERN,Little Italy,-76.60161,39.2864,"(39.2864000000, -76.6016100000)",ROW/TOWNHO,1,2012-01-31
01/31/2012,23:26:00,5D,2000 W 41ST ST,BURGLARY,I,,533.0,NORTHERN,Woodberry,-76.64641,39.3339,"(39.3339000000, -76.6464100000)",OTHER - IN,1,2012-01-31
01/31/2012,23:01:00,3B,3900 FRISBY ST,ROBBERY - STREET,O,,542.0,NORTHERN,Pen Lucy,-76.6062,39.33672,"(39.3367200000, -76.6062000000)",STREET,1,2012-01-31
01/31/2012,23:00:00,7A,2200 W LANVALE ST,AUTO THEFT,O,,722.0,WESTERN,Midtown-Edmondson,-76.6527,39.297090000000004,"(39.2970900000, -76.6527000000)",STREET,1,2012-01-31
01/31/2012,23:00:00,6E,2700 N ROSEDALE ST,LARCENY,O,,641.0,NORTHWESTERN,Hanlon-Longwood,-76.67000999999999,39.318000000000005,"(39.3180000000, -76.6700100000)",PARKING LO,1,2012-01-31
01/31/2012,22:55:00,4E,200 E PRATT ST,COMMON ASSAULT,I,HANDS,112.0,CENTRAL,Inner Harbor,-76.61134,39.28655,"(39.2865500000, -76.6113400000)",RESTAURANT,1,2012-01-31
01/31/2012,22:45:00,4E,3700 GREENVALE RD,COMMON ASSAULT,I,HANDS,832.0,SOUTHWESTERN,Violetville,-76.67685,39.264340000000004,"(39.2643400000, -76.6768500000)",ROW/TOWNHO,1,2012-01-31
01/31/2012,22:16:00,3B,1700 DUNDALK AV,ROBBERY - STREET,O,,243.0,SOUTHEASTERN,Graceland Park,-76.53132,39.273559999999996,"(39.2735600000, -76.5313200000)",STREET,1,2012-01-31
01/31/2012,22:00:00,6G,600 N KENWOOD AV,LARCENY,I,,221.0,SOUTHEASTERN,McElderry Park,-76.57799,39.29844,"(39.2984400000, -76.5779900000)",ROW/TOWNHO,1,2012-01-31
01/31/2012,22:00:00,5D,1500 N ELLAMONT ST,BURGLARY,I,,813.0,SOUTHWESTERN,Rosemont,-76.67073,39.30503,"(39.3050300000, -76.6707300000)",CARRY OUT,1,2012-01-31
