date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
02/21/2012,17:30:00,4E,,COMMON ASSAULT,I,HANDS,112.0,CENTRAL,,,,,OFFICE BUI,1,2012-02-21
02/29/2012,23:59:00,6E,1700 AISQUITH ST,LARCENY,O,,343.0,EASTERN,Oliver,-76.60247,39.30983,"(39.3098300000, -76.6024700000)",STREET,1,2012-02-29
02/29/2012,23:55:00,4E,1400 N FULTON AV,COMMON ASSAULT,I,HANDS,743.0,WESTERN,Sandtown-Winchester,-76.64624,39.304829999999995,"(39.3048300000, -76.6462400000)",APT/CONDO,1,2012-02-29
02/29/2012,23:45:00,5B,700 LINNARD ST,BURGLARY,I,,844.0,SOUTHWESTERN,Edgewood,-76.67565,39.29611,"(39.2961100000, -76.6756500000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,23:40:00,4E,100 E 29TH ST,COMMON ASSAULT,O,HANDS,512.0,NORTHERN,Charles Village,-76.61565999999999,39.32328,"(39.3232800000, -76.6156600000)",STREET,1,2012-02-29
02/29/2012,23:40:00,3AF,1700 E PRATT ST,ROBBERY - STREET,O,FIREARM,212.0,SOUTHEASTERN,Upper Fells Point,-76.59225,39.28927,"(39.2892700000, -76.5922500000)",STREET,1,2012-02-29
02/29/2012,23:20:00,4E,600 N WOLFE ST,COMMON ASSAULT,I,HANDS,321.0,EASTERN,Dunbar-Broadway,-76.59087,39.297579999999996,"(39.2975800000, -76.5908700000)",HOSP/NURS.,1,2012-02-29
02/29/2012,23:00:00,5D,6800 REISTERSTOWN RD,BURGLARY,I,,631.0,NORTHWESTERN,Reisterstown Station,-76.70754000000001,39.36,"(39.3600000000, -76.7075400000)",DEPARTMENT,1,2012-02-29
02/29/2012,23:00:00,6G,4300 SEMINOLE AV,LARCENY,I,,822.0,SOUTHWESTERN,Rognel Heights,-76.69351999999999,39.29782,"(39.2978200000, -76.6935200000)",APT/CONDO,1,2012-02-29
02/29/2012,22:45:00,4E,1600 N BROADWAY,COMMON ASSAULT,I,HANDS,343.0,EASTERN,Oliver,-76.59508000000001,39.308820000000004,"(39.3088200000, -76.5950800000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,22:25:00,8H,3600 6TH ST,ARSON,O,,913.0,SOUTHERN,Brooklyn,-76.60239,39.23624,"(39.2362400000, -76.6023900000)",STREET,1,2012-02-29
02/29/2012,22:05:00,6E,5900 SIMMONDS AV,LARCENY,O,,632.0,NORTHWESTERN,Glen,-76.68215,39.3604,"(39.3604000000, -76.6821500000)",STREET,1,2012-02-29
02/29/2012,22:00:00,7A,2600 PENNSYLVANIA AV,AUTO THEFT,O,,733.0,WESTERN,Penn North,-76.64398,39.31127,"(39.3112700000, -76.6439800000)",STREET,1,2012-02-29
02/29/2012,21:01:00,1F,4500 WINDSOR MILL RD,HOMICIDE,Outside,FIREARM,821.0,SOUTHWESTERN,Wakefield,-76.69126999999999,39.31306,"(39.3130600000, -76.6912700000)",Street,1,2012-02-29
02/29/2012,21:40:00,6C,3400 CLIFTON AV,LARCENY,I,,812.0,SOUTHWESTERN,Mount Holly,-76.6756,39.31089,"(39.3108900000, -76.6756000000)",OTHER - IN,1,2012-02-29
02/29/2012,21:30:00,4E,500 WALKER AV,COMMON ASSAULT,I,HANDS,522.0,NORTHERN,Lake Walker,-76.60696999999999,39.37172,"(39.3717200000, -76.6069700000)",APT/CONDO,1,2012-02-29
02/29/2012,21:30:00,5D,0 W EAGER ST,BURGLARY,I,,142.0,CENTRAL,Mount Vernon,-76.61599,39.30097,"(39.3009700000, -76.6159900000)",TAVERN/NIG,1,2012-02-29
02/29/2012,21:30:00,3K,2000 JUBILEE CT,ROBBERY - RESIDENCE,I,,423.0,NORTHEASTERN,Hamilton Hills,-76.57216,39.36742,"(39.3674200000, -76.5721600000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,21:00:00,5A,2100 N CALVERT ST,BURGLARY,I,,514.0,NORTHERN,Barclay,-76.61397,39.31349,"(39.3134900000, -76.6139700000)",APT/CONDO,1,2012-02-29
02/29/2012,21:00:00,6J,300 E CROMWELL ST,LARCENY,O,,943.0,SOUTHERN,Port Covington,-76.60658000000001,39.26415,"(39.2641500000, -76.6065800000)",YARD,1,2012-02-29
02/29/2012,21:00:00,6D,0 W SARATOGA ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.61549000000001,39.29233,"(39.2923300000, -76.6154900000)",STREET,1,2012-02-29
02/29/2012,20:45:00,6D,6500 REISTERSTOWN RD,LARCENY FROM AUTO,O,,631.0,NORTHWESTERN,Reisterstown Station,-76.70278,39.35633,"(39.3563300000, -76.7027800000)",PARKING LO,1,2012-02-29
02/29/2012,20:30:00,4E,1900 E LOMBARD ST,COMMON ASSAULT,I,HANDS,212.0,SOUTHEASTERN,Upper Fells Point,-76.58988000000001,39.290490000000005,"(39.2904900000, -76.5898800000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,19:40:00,4E,900 MCCULLOH ST,COMMON ASSAULT,I,HANDS,132.0,CENTRAL,Madison Park,-76.62357,39.299209999999995,"(39.2992100000, -76.6235700000)",OTHER - IN,1,2012-02-29
02/29/2012,19:35:00,4B,5500 HILLTOP AV,AGG. ASSAULT,I,KNIFE,426.0,NORTHEASTERN,Waltherson,-76.55011999999999,39.341570000000004,"(39.3415700000, -76.5501200000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,19:30:00,6D,300 S BROADWAY,LARCENY FROM AUTO,O,,213.0,SOUTHEASTERN,Fells Point,-76.59371999999999,39.28736,"(39.2873600000, -76.5937200000)",STREET,1,2012-02-29
02/29/2012,19:30:00,5A,800 S GLOVER ST,BURGLARY,I,,232.0,SOUTHEASTERN,Canton,-76.57914,39.282579999999996,"(39.2825800000, -76.5791400000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,19:30:00,6E,2900 WASHINGTON BD,LARCENY,O,,831.0,SOUTHWESTERN,Morrell Park,-76.65894,39.26083,"(39.2608300000, -76.6589400000)",STREET,1,2012-02-29
02/29/2012,19:30:00,6E,1400 N ELLWOOD AV,LARCENY,O,,332.0,EASTERN,Berea,-76.57385,39.307559999999995,"(39.3075600000, -76.5738500000)",STREET,1,2012-02-29
02/29/2012,19:20:00,6D,0 W FRANKLIN ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.61572,39.29507,"(39.2950700000, -76.6157200000)",STREET,1,2012-02-29
02/29/2012,19:00:00,6D,1000 S STREEPER ST,LARCENY FROM AUTO,O,,232.0,SOUTHEASTERN,Canton,-76.57621999999999,39.28109,"(39.2810900000, -76.5762200000)",STREET,1,2012-02-29
02/29/2012,19:00:00,6D,2900 FALLSTAFF RD,LARCENY FROM AUTO,O,,632.0,NORTHWESTERN,Cheswolde,-76.68698,39.37024,"(39.3702400000, -76.6869800000)",PARKING LO,1,2012-02-29
02/29/2012,19:00:00,6D,2600 LIGHTHOUSE LA,LARCENY FROM AUTO,O,,232.0,SOUTHEASTERN,Canton,-76.57955,39.278490000000005,"(39.2784900000, -76.5795500000)",DRIVEWAY,1,2012-02-29
02/29/2012,19:00:00,5A,700 N AUGUSTA AV,BURGLARY,I,,844.0,SOUTHWESTERN,Edmondson Village,-76.68511,39.29574,"(39.2957400000, -76.6851100000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,18:50:00,7A,6900 REISTERSTOWN RD,AUTO THEFT,O,,631.0,NORTHWESTERN,Fallstaff,-76.70872,39.36112,"(39.3611200000, -76.7087200000)",STREET,1,2012-02-29
02/29/2012,18:30:00,6D,400 EAGER ST,LARCENY FROM AUTO,O,,311.0,EASTERN,Johnston Square,-76.61067,39.30124,"(39.3012400000, -76.6106700000)",STREET,1,2012-02-29
02/29/2012,18:30:00,6D,1100 ELBANK AV,LARCENY FROM AUTO,O,,522.0,NORTHERN,Glen Oaks,-76.59513000000001,39.36509,"(39.3650900000, -76.5951300000)",STREET,1,2012-02-29
02/29/2012,18:30:00,5A,3800 DERBY MANOR DR,BURGLARY,I,,533.0,NORTHERN,Greenspring,-76.65767,39.33442,"(39.3344200000, -76.6576700000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,18:00:00,4C,400 N KENWOOD AVE,AGG. ASSAULT,I,OTHER,221.0,SOUTHEASTERN,McElderry Park,-76.57781999999999,39.29609,"(39.2960900000, -76.5778200000)",ROW/TOWNHO,1,2012-02-29
02/29/2012,18:00:00,6J,1400 N FREMONT AV,LARCENY,O,,123.0,WESTERN,Upton,-76.63769,39.30506,"(39.3050600000, -76.6376900000)",OTHER - OU,1,2012-02-29
02/29/2012,18:00:00,6G,3100 SWAN DR,LARCENY,I,,531.0,NORTHERN,Druid Hill Park,-76.6425,39.3191,"(39.3191000000, -76.6425000000)",OTHER - IN,1,2012-02-29
02/29/2012,18:00:00,6G,3100 SWAN DR,LARCENY,I,,531.0,NORTHERN,Druid Hill Park,-76.6425,39.3191,"(39.3191000000, -76.6425000000)",OTHER - IN,1,2012-02-29
02/29/2012,17:59:00,4E,2100 W PATAPSCO,COMMON ASSAULT,I,HANDS,923.0,SOUTHERN,Lakeland,-76.64487,39.25107,"(39.2510700000, -76.6448700000)",OTHER - IN,1,2012-02-29
02/29/2012,17:50:00,6C,2400 FREDERICK AV,LARCENY,I,,841.0,SOUTHWESTERN,Millhill,-76.65581,39.283429999999996,"(39.2834300000, -76.6558100000)",GROCERY/CO,1,2012-02-29
