date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
04/30/2014,23:35:00,3AF,3200 E LOMBARD ST,ROBBERY - STREET,O,FIREARM,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57137,39.29128,"(39.2912800000, -76.5713700000)",STREET,1,2014-04-30
04/30/2014,22:20:00,4E,1600 CLIFTON AV,COMMON ASSAULT,O,HANDS,733.0,WESTERN,Penn North,-76.64573,39.31228,"(39.3122800000, -76.6457300000)",STREET,1,2014-04-30
04/30/2014,22:00:00,7A,100 CALLENDER ST,AUTO THEFT,O,,931.0,SOUTHERN,Hollins Market,-76.63133,39.286809999999996,"(39.2868100000, -76.6313300000)",STREET,1,2014-04-30
04/30/2014,22:00:00,3AF,5200 CUTHBERT AV,ROBBERY - STREET,O,FIREARM,633.0,NORTHWESTERN,Arlington,-76.68108000000001,39.34672,"(39.3467200000, -76.6810800000)",STREET,1,2014-04-30
04/30/2014,21:57:00,4E,ERDMAN AV,COMMON ASSAULT,I,HANDS,432.0,NORTHEASTERN,Belair-Edison,-76.56839000000001,39.31501,"(39.3150100000, -76.5683900000)",SHOPPING M,1,2014-04-30
04/30/2014,21:56:00,4E,3500 WOODLAND AV,COMMON ASSAULT,,HANDS,614.0,NORTHWESTERN,Central Park Heights,-76.67354,39.34169,"(39.3416900000, -76.6735400000)",,1,2014-04-30
04/30/2014,21:56:00,4E,3500 WOODLAND AV,COMMON ASSAULT,I,HANDS,614.0,NORTHWESTERN,Central Park Heights,-76.67354,39.34169,"(39.3416900000, -76.6735400000)",APT/CONDO,1,2014-04-30
04/30/2014,21:30:00,6D,300 N CHARLES ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.61546,39.29358,"(39.2935800000, -76.6154600000)",STREET,1,2014-04-30
04/30/2014,20:55:00,3B,500 LAURENS ST,ROBBERY - STREET,O,,131.0,CENTRAL,Druid Heights,-76.63353000000001,39.30588,"(39.3058800000, -76.6335300000)",STREET,1,2014-04-30
04/30/2014,20:45:00,6D,1600 EASTERN AV,LARCENY FROM AUTO,O,,213.0,SOUTHEASTERN,Fells Point,-76.59524,39.28552,"(39.2855200000, -76.5952400000)",STREET,1,2014-04-30
