date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
11/30/2014,23:30:00,7A,600 EDGEWOOD ST,AUTO THEFT,O,,844.0,SOUTHWESTERN,Edgewood,-76.67560999999999,39.29457,"(39.2945700000, -76.6756100000)",ALLEY,1,2014-11-30
11/30/2014,23:15:00,7A,1500 PENTWOOD RD,AUTO THEFT,O,,413.0,NORTHEASTERN,Stonewood-Pentwood-Winsto,-76.58925,39.34825,"(39.3482500000, -76.5892500000)",STREET,1,2014-11-30
11/30/2014,23:00:00,6G,900 LEADENHALL ST,LARCENY,I,,941.0,SOUTHERN,Sharp-Leadenhall,-76.61703,39.27859,"(39.2785900000, -76.6170300000)",OTHER - IN,1,2014-11-30
11/30/2014,23:00:00,6J,3300 TIVOLY AV,LARCENY,O,,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.59214,39.32855,"(39.3285500000, -76.5921400000)",STREET,1,2014-11-30
11/30/2014,23:00:00,4A,800 N CALHOUN ST,AGG. ASSAULT,O,FIREARM,713.0,WESTERN,Harlem Park,-76.6401,39.29786,"(39.2978600000, -76.6401000000)",STREET,1,2014-11-30
11/30/2014,23:00:00,3AF,3400 SPELMAN RD,ROBBERY - STREET,O,FIREARM,922.0,SOUTHERN,Cherry Hill,-76.62601,39.243320000000004,"(39.2433200000, -76.6260100000)",STREET,1,2014-11-30
11/30/2014,22:30:00,6E,300 WILSON ST,LARCENY,O,,132.0,CENTRAL,Madison Park,-76.63013000000001,39.30693,"(39.3069300000, -76.6301300000)",STREET,1,2014-11-30
11/30/2014,22:30:00,5A,1000 CAMERON RD,BURGLARY,I,,523.0,NORTHERN,Cameron Village,-76.59774,39.35649,"(39.3564900000, -76.5977400000)",ROW/TOWNHO,1,2014-11-30
11/30/2014,22:30:00,6D,1700 WEBSTER ST,LARCENY FROM AUTO,O,,943.0,SOUTHERN,Riverside,-76.60427,39.27043,"(39.2704300000, -76.6042700000)",STREET,1,2014-11-30
11/30/2014,22:19:00,3AK,500 W OSTEND ST,ROBBERY - STREET,O,KNIFE,941.0,SOUTHERN,Stadium Area,-76.62419,39.27643,"(39.2764300000, -76.6241900000)",STREET,1,2014-11-30
