date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
07/31/2014,23:44:00,9S,4700 WILERN AV,SHOOTING,Outside,FIREARM,614.0,NORTHWESTERN,Central Park Heights,-76.67361,39.34458,"(39.3445800000, -76.6736100000)",Street,1,2014-07-31
07/31/2014,23:44:00,1F,4700 WILERN AV,HOMICIDE,Outside,FIREARM,614.0,NORTHWESTERN,Central Park Heights,-76.67361,39.34458,"(39.3445800000, -76.6736100000)",Street,1,2014-07-31
07/31/2014,23:40:00,4A,4700 WILERN AVE,AGG. ASSAULT,O,FIREARM,614.0,NORTHWESTERN,Central Park Heights,-76.67361,39.34458,"(39.3445800000, -76.6736100000)",STREET,1,2014-07-31
07/31/2014,23:30:00,5D,300 W LOMBARD ST,BURGLARY,I,,113.0,CENTRAL,Downtown West,-76.6195,39.28755,"(39.2875500000, -76.6195000000)",HOTEL/MOTE,1,2014-07-31
07/31/2014,23:00:00,6D,1500 MEDFORD RD,LARCENY FROM AUTO,O,,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.59331999999999,39.336,"(39.3360000000, -76.5933200000)",STREET,1,2014-07-31
07/31/2014,23:00:00,6D,4600 REISTERSTOWN RD,LARCENY FROM AUTO,I,,613.0,NORTHWESTERN,Lucille Park,-76.67298000000001,39.340740000000004,"(39.3407400000, -76.6729800000)",CAR LOT-NE,1,2014-07-31
07/31/2014,23:00:00,6D,0 E BIDDLE ST,LARCENY FROM AUTO,O,,141.0,CENTRAL,Mid-Town Belvedere,-76.61516999999999,39.303490000000004,"(39.3034900000, -76.6151700000)",STREET,1,2014-07-31
07/31/2014,23:00:00,6D,0 E BIDDLE ST,LARCENY FROM AUTO,O,,141.0,CENTRAL,Mid-Town Belvedere,-76.61542,39.30348,"(39.3034800000, -76.6154200000)",STREET,1,2014-07-31
07/31/2014,22:20:00,4A,1000 ASHLAND CT,AGG. ASSAULT,I,FIREARM,312.0,EASTERN,Oldtown,-76.60351999999999,39.30019,"(39.3001900000, -76.6035200000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,22:00:00,6D,,LARCENY FROM AUTO,O,,534.0,NORTHERN,,,,,ALLEY,1,2014-07-31
07/31/2014,22:00:00,6D,0 E CHASE ST,LARCENY FROM AUTO,O,,141.0,CENTRAL,Mid-Town Belvedere,-76.61504000000001,39.30238,"(39.3023800000, -76.6150400000)",STREET,1,2014-07-31
07/31/2014,22:00:00,7A,3500 CURRAN DR,AUTO THEFT,O,,421.0,NORTHEASTERN,Mayfield,-76.5827,39.3308,"(39.3308000000, -76.5827000000)",STREET,1,2014-07-31
07/31/2014,22:00:00,6D,100 S BEECHFIELD AV,LARCENY FROM AUTO,O,,822.0,SOUTHWESTERN,Irvington,-76.69301999999999,39.2826,"(39.2826000000, -76.6930200000)",STREET,1,2014-07-31
07/31/2014,21:50:00,3AF,4500 PATTERSON AV,ROBBERY - STREET,O,FIREARM,631.0,NORTHWESTERN,Reisterstown Station,-76.70819,39.35175,"(39.3517500000, -76.7081900000)",STREET,1,2014-07-31
07/31/2014,21:32:00,8H,3700 BEEHLER AVE,ARSON,O,,614.0,NORTHWESTERN,Central Park Heights,-76.6752,39.34259,"(39.3425900000, -76.6752000000)",STREET,1,2014-07-31
07/31/2014,21:30:00,7A,4000 3RD ST,AUTO THEFT,O,,913.0,SOUTHERN,Brooklyn,-76.60914,39.23355,"(39.2335500000, -76.6091400000)",STREET,1,2014-07-31
07/31/2014,21:30:00,7A,800 S MILTON AV,AUTO THEFT,O,,232.0,SOUTHEASTERN,Canton,-76.58128,39.282709999999994,"(39.2827100000, -76.5812800000)",STREET,1,2014-07-31
07/31/2014,21:10:00,6C,2700 PORT COVINGTON DR,LARCENY,I,,943.0,SOUTHERN,Port Covington,-76.6088,39.25945,"(39.2594500000, -76.6088000000)",OTHER - IN,1,2014-07-31
07/31/2014,21:03:00,4B,300 LIGHT ST,AGG. ASSAULT,I,KNIFE,112.0,CENTRAL,Inner Harbor,-76.6134,39.28544,"(39.2854400000, -76.6134000000)",RESTAURANT,1,2014-07-31
07/31/2014,21:00:00,6B,3200 E BALTIMORE ST,LARCENY,O,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57229,39.29241,"(39.2924100000, -76.5722900000)",STREET,1,2014-07-31
07/31/2014,20:57:00,7A,1200 E NORTH AV,AUTO THEFT,O,,342.0,EASTERN,East Baltimore Midway,-76.60157,39.31185,"(39.3118500000, -76.6015700000)",STREET,1,2014-07-31
07/31/2014,20:30:00,4E,1900 CECIL AV,COMMON ASSAULT,I,HANDS,342.0,EASTERN,East Baltimore Midway,-76.60515,39.31222,"(39.3122200000, -76.6051500000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,20:30:00,6D,900 W NORTH AVE,LARCENY FROM AUTO,O,,133.0,CENTRAL,Reservoir Hill,-76.63333,39.310520000000004,"(39.3105200000, -76.6333300000)",STREET,1,2014-07-31
07/31/2014,20:15:00,3AO,2300 E BALTIMORE ST,ROBBERY - STREET,O,OTHER,221.0,SOUTHEASTERN,Patterson Place,-76.5846,39.291920000000005,"(39.2919200000, -76.5846000000)",STREET,1,2014-07-31
07/31/2014,20:00:00,7A,5200 EDMONDSON AV,AUTO THEFT,O,,823.0,SOUTHWESTERN,Westgate,-76.71072,39.28797,"(39.2879700000, -76.7107200000)",STREET,1,2014-07-31
07/31/2014,20:00:00,6D,1700 FREDERICK AVE,LARCENY FROM AUTO,O,,711.0,WESTERN,Franklin Square,-76.64395999999999,39.2878,"(39.2878000000, -76.6439600000)",STREET,1,2014-07-31
07/31/2014,19:50:00,4E,3900 WOODLEA AV,COMMON ASSAULT,I,HANDS,426.0,NORTHEASTERN,Waltherson,-76.55911,39.337959999999995,"(39.3379600000, -76.5591100000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,19:30:00,6J,2400 REISTERSTOWN RD,LARCENY,O,,732.0,WESTERN,Parkview/Woodbrook,-76.65,39.3163,"(39.3163000000, -76.6500000000)",OTHER - OU,1,2014-07-31
07/31/2014,19:30:00,5D,1500 E BALTIMORE ST,BURGLARY,I,,212.0,SOUTHEASTERN,Washington Hill,-76.59705,39.2914,"(39.2914000000, -76.5970500000)",POOL/BOWLI,1,2014-07-31
07/31/2014,19:16:00,4E,2400 FEDERAL ST,COMMON ASSAULT,O,HANDS,331.0,EASTERN,Broadway East,-76.58423,39.30893,"(39.3089300000, -76.5842300000)",STREET,1,2014-07-31
07/31/2014,19:00:00,6E,1800 ORLEANS ST,LARCENY,I,,321.0,EASTERN,Dunbar-Broadway,-76.59129,39.29529,"(39.2952900000, -76.5912900000)",GARAGE ON,1,2014-07-31
07/31/2014,18:55:00,6G,1600 LOCKWOOD RD,LARCENY,I,,412.0,NORTHEASTERN,Hillen,-76.58787,39.34261,"(39.3426100000, -76.5878700000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,18:40:00,4E,1300 N BRADFORD ST,COMMON ASSAULT,O,HANDS,331.0,EASTERN,Broadway East,-76.58491,39.30611,"(39.3061100000, -76.5849100000)",STREET,1,2014-07-31
07/31/2014,18:40:00,3B,3500 N CALVERT ST,ROBBERY - STREET,O,,512.0,NORTHERN,Oakenshawe,-76.61485,39.33128,"(39.3312800000, -76.6148500000)",STREET,1,2014-07-31
07/31/2014,18:30:00,6D,6400 CEDONIA AV,LARCENY FROM AUTO,O,,425.0,NORTHEASTERN,Rosemont East,-76.53366,39.3523,"(39.3523000000, -76.5336600000)",STREET,1,2014-07-31
07/31/2014,18:00:00,7A,,AUTO THEFT,O,,715.0,WESTERN,,,,,STREET,1,2014-07-31
07/31/2014,18:00:00,5E,3700 W ROGERS AV,BURGLARY,I,,633.0,NORTHWESTERN,Arlington,-76.68489,39.350840000000005,"(39.3508400000, -76.6848900000)",SCHOOL,1,2014-07-31
07/31/2014,18:00:00,6E,2700 FOX ST,LARCENY,O,,511.0,NORTHERN,Remington,-76.62159,39.32033,"(39.3203300000, -76.6215900000)",STREET,1,2014-07-31
07/31/2014,18:00:00,6C,600 E PRATT ST,LARCENY,I,,112.0,CENTRAL,Inner Harbor,-76.60774,39.28676,"(39.2867600000, -76.6077400000)",DEPARTMENT,1,2014-07-31
07/31/2014,17:30:00,7A,2400 HUDSON ST,AUTO THEFT,O,,232.0,SOUTHEASTERN,Canton,-76.58216999999999,39.28198,"(39.2819800000, -76.5821700000)",STREET,1,2014-07-31
07/31/2014,17:17:00,4E,2100 GREENMOUNT AV,COMMON ASSAULT,I,HANDS,341.0,EASTERN,Barclay,-76.60954,39.31358,"(39.3135800000, -76.6095400000)",CONVENIENC,1,2014-07-31
07/31/2014,17:08:00,6C,2900 HAMILTON AV,LARCENY,I,,423.0,NORTHEASTERN,Hamilton Hills,-76.5626,39.35313,"(39.3531300000, -76.5626000000)",GROCERY/CO,1,2014-07-31
07/31/2014,17:00:00,5A,4200 ELDERON AV,BURGLARY,I,,621.0,NORTHWESTERN,West Arlington,-76.68978,39.34174,"(39.3417400000, -76.6897800000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,17:00:00,6G,2500 DRUID HILL AV,LARCENY,I,,733.0,WESTERN,Penn North,-76.64205,39.31419,"(39.3141900000, -76.6420500000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,17:00:00,5A,1900 BOOTH ST,BURGLARY,I,,842.0,SOUTHWESTERN,Boyd-Booth,-76.64766,39.28757,"(39.2875700000, -76.6476600000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,17:00:00,5A,900 S CAREY ST,BURGLARY,I,,932.0,SOUTHERN,Washington Village/Pigtow,-76.63703000000001,39.28188,"(39.2818800000, -76.6370300000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,17:00:00,6G,400 MILLINGTON AV,LARCENY,I,,841.0,SOUTHWESTERN,Millhill,-76.65693,39.28117,"(39.2811700000, -76.6569300000)",APT/CONDO,1,2014-07-31
07/31/2014,17:00:00,5D,0 E WELLS ST,BURGLARY,O,,943.0,SOUTHERN,South Baltimore,-76.61327,39.2684,"(39.2684000000, -76.6132700000)",SHED/GARAG,1,2014-07-31
07/31/2014,17:00:00,6G,2500 DRUID HILL AV,LARCENY,I,,733.0,WESTERN,Penn North,-76.64205,39.31419,"(39.3141900000, -76.6420500000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,17:00:00,6D,300 BROADMOOR RD,LARCENY FROM AUTO,I,,523.0,NORTHERN,Homeland,-76.61503,39.35536,"(39.3553600000, -76.6150300000)",UNKNOWN,1,2014-07-31
07/31/2014,16:40:00,5C,2200 CAMBRIDGE ST,BURGLARY,I,,232.0,SOUTHEASTERN,Canton,-76.585,39.2839,"(39.2839000000, -76.5850000000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,16:30:00,6D,500 N WASHINGTON ST,LARCENY FROM AUTO,O,,321.0,EASTERN,Dunbar-Broadway,-76.58951,39.29659,"(39.2965900000, -76.5895100000)",STREET,1,2014-07-31
07/31/2014,16:30:00,5A,3600 GRANTLEY RD,BURGLARY,I,,643.0,NORTHWESTERN,Ashburton,-76.67499000000001,39.328590000000005,"(39.3285900000, -76.6749900000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,15:35:00,5D,300 IMLA ST,BURGLARY,O,,241.0,SOUTHEASTERN,Bayview,-76.53922,39.29006,"(39.2900600000, -76.5392200000)",SHED/GARAG,1,2014-07-31
07/31/2014,15:30:00,6G,2800 MAISEL ST,LARCENY,O,,921.0,SOUTHERN,Westport,-76.63351999999999,39.26122,"(39.2612200000, -76.6335200000)",YARD,1,2014-07-31
07/31/2014,15:20:00,4E,1900 N ELLAMONT ST,COMMON ASSAULT,O,HANDS,811.0,SOUTHWESTERN,Walbrook,-76.67090999999999,39.30923,"(39.3092300000, -76.6709100000)",STREET,1,2014-07-31
07/31/2014,15:00:00,4E,3400 KENYON AV,COMMON ASSAULT,I,HANDS,432.0,NORTHEASTERN,Belair-Edison,-76.56459,39.3219,"(39.3219000000, -76.5645900000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,15:00:00,4E,200 E BALTIMORE ST,COMMON ASSAULT,O,HANDS,111.0,CENTRAL,Downtown,-76.61201,39.28968,"(39.2896800000, -76.6120100000)",PARKING LO,1,2014-07-31
07/31/2014,15:00:00,4E,200 WASHBURN AV,COMMON ASSAULT,I,HANDS,913.0,SOUTHERN,Brooklyn,-76.60863,39.23587,"(39.2358700000, -76.6086300000)",ROW/TOWNHO,1,2014-07-31
07/31/2014,14:50:00,6D,5100 REISTERSTOWN RD,LARCENY FROM AUTO,O,,623.0,NORTHWESTERN,Woodmere,-76.68251,39.342209999999994,"(39.3422100000, -76.6825100000)",GAS STATIO,1,2014-07-31
07/31/2014,14:35:00,6D,100 PARKIN ST,LARCENY FROM AUTO,O,,931.0,SOUTHERN,Hollins Market,-76.6306,39.286840000000005,"(39.2868400000, -76.6306000000)",STREET,1,2014-07-31
07/31/2014,14:30:00,4D,3100 WOLCOTT AV,AGG. ASSAULT,I,HANDS,642.0,NORTHWESTERN,Concerned Citizens Of For,-76.68439000000001,39.32263,"(39.3226300000, -76.6843900000)",HOSP/NURS.,1,2014-07-31
