date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
05/31/2014,23:30:00,6D,2200 GOUGH ST,LARCENY FROM AUTO,O,,212.0,SOUTHEASTERN,Upper Fells Point,-76.58586,39.28798,"(39.2879800000, -76.5858600000)",STREET,1,2014-05-31
05/31/2014,23:00:00,6D,3300 EDMONDSON AV,LARCENY FROM AUTO,O,,844.0,SOUTHWESTERN,Edgewood,-76.67355,39.29417,"(39.2941700000, -76.6735500000)",STREET,1,2014-05-31
05/31/2014,23:00:00,6E,900 ARGONNE DR,LARCENY,O,,412.0,NORTHERN,Ednor Gardens-Lakeside,-76.60175,39.33913,"(39.3391300000, -76.6017500000)",STREET,1,2014-05-31
05/31/2014,23:00:00,5D,100 S MOUNT ST,BURGLARY,I,,933.0,SOUTHERN,Union Square,-76.64363,39.28613,"(39.2861300000, -76.6436300000)",RELIGIOUS,1,2014-05-31
05/31/2014,23:00:00,3CF,1100 E NORTH AV,ROBBERY - COMMERCIAL,I,FIREARM,342.0,EASTERN,East Baltimore Midway,-76.60337,39.31177,"(39.3117700000, -76.6033700000)",OTHER - IN,1,2014-05-31
05/31/2014,23:00:00,7A,1600 SHAKESPEARE ST,AUTO THEFT,O,,213.0,SOUTHEASTERN,Fells Point,-76.59496,39.282070000000004,"(39.2820700000, -76.5949600000)",STREET,1,2014-05-31
05/31/2014,22:10:00,4E,100 S CALVERTON RD,COMMON ASSAULT,O,HANDS,842.0,SOUTHWESTERN,Shipley Hill,-76.65223,39.286840000000005,"(39.2868400000, -76.6522300000)",STREET,1,2014-05-31
05/31/2014,22:01:00,3B,200 S BROADWAY,ROBBERY - STREET,O,,213.0,SOUTHEASTERN,Fells Point,-76.59383000000001,39.289,"(39.2890000000, -76.5938300000)",STREET,1,2014-05-31
05/31/2014,22:00:00,7A,4900 CHALLEDON RD,AUTO THEFT,O,,821.0,SOUTHWESTERN,Wakefield,-76.69870999999999,39.312459999999994,"(39.3124600000, -76.6987100000)",STREET,1,2014-05-31
05/31/2014,22:00:00,4E,600 KEY HWY,COMMON ASSAULT,O,HANDS,942.0,CENTRAL,Federal Hill,-76.60664,39.28042,"(39.2804200000, -76.6066400000)",STREET,1,2014-05-31
05/31/2014,21:40:00,4E,1200 N BROADWAY,COMMON ASSAULT,O,HANDS,331.0,EASTERN,Broadway East,-76.59451,39.304629999999996,"(39.3046300000, -76.5945100000)",STREET,1,2014-05-31
05/31/2014,21:03:00,8AO,200 MASON CT,ARSON,I,,211.0,SOUTHEASTERN,Perkins Homes,-76.59597,39.28869,"(39.2886900000, -76.5959700000)",PUBLIC HOU,1,2014-05-31
05/31/2014,21:00:00,7A,3300 STRICKLAND ST,AUTO THEFT,O,,833.0,SOUTHWESTERN,Irvington,-76.67197,39.277570000000004,"(39.2775700000, -76.6719700000)",STREET,1,2014-05-31
05/31/2014,21:00:00,6D,200 E LAFAYETTE AV,LARCENY FROM AUTO,O,,311.0,EASTERN,Greenmount West,-76.61303000000001,39.309909999999995,"(39.3099100000, -76.6130300000)",STREET,1,2014-05-31
05/31/2014,21:00:00,4D,5000 WRIGHT AV,AGG. ASSAULT,O,HANDS,433.0,NORTHEASTERN,Armistead Gardens,-76.55634,39.30742,"(39.3074200000, -76.5563400000)",STREET,1,2014-05-31
05/31/2014,20:55:00,6F,3600 YOLANDO RD,LARCENY,O,,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.60024,39.3322,"(39.3322000000, -76.6002400000)",STREET,1,2014-05-31
05/31/2014,20:53:00,4D,300 WARREN AVE,AGG. ASSAULT,O,HANDS,942.0,SOUTHERN,Federal Hill,-76.60972,39.27902,"(39.2790200000, -76.6097200000)",PARK,1,2014-05-31
05/31/2014,20:40:00,6D,,LARCENY FROM AUTO,O,,111.0,CENTRAL,,,,,STREET,1,2014-05-31
05/31/2014,20:40:00,6D,,LARCENY FROM AUTO,O,,111.0,CENTRAL,,,,,STREET,1,2014-05-31
05/31/2014,20:40:00,6D,,LARCENY FROM AUTO,O,,111.0,CENTRAL,,,,,STREET,1,2014-05-31
05/31/2014,20:40:00,6D,,LARCENY FROM AUTO,O,,111.0,CENTRAL,,,,,STREET,1,2014-05-31
05/31/2014,20:40:00,6D,,LARCENY FROM AUTO,O,,111.0,CENTRAL,,,,,STREET,1,2014-05-31
05/31/2014,20:40:00,6D,,LARCENY FROM AUTO,O,,111.0,CENTRAL,,,,,STREET,1,2014-05-31
05/31/2014,20:30:00,6G,2100 W PATAPSCO AV,LARCENY,I,,923.0,SOUTHERN,Lakeland,-76.64385,39.25074,"(39.2507400000, -76.6438500000)",RETAIL/SMA,1,2014-05-31
05/31/2014,20:30:00,6J,800 E 33RD ST,LARCENY,O,,543.0,NORTHERN,Waverly,-76.60481999999999,39.328520000000005,"(39.3285200000, -76.6048200000)",STREET,1,2014-05-31
05/31/2014,20:14:00,5A,6800 WILLIAMSON AV,BURGLARY,I,,631.0,NORTHWESTERN,Fallstaff,-76.7034,39.36302,"(39.3630200000, -76.7034000000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,20:00:00,7A,1100 W FRANKLIN ST,AUTO THEFT,O,,713.0,WESTERN,Harlem Park,-76.63643,39.294290000000004,"(39.2942900000, -76.6364300000)",STREET,1,2014-05-31
05/31/2014,20:00:00,5E,2100 FREDERICK AV,BURGLARY,I,,842.0,SOUTHWESTERN,Shipley Hill,-76.65086,39.28549,"(39.2854900000, -76.6508600000)",OTHER - IN,1,2014-05-31
05/31/2014,20:00:00,7C,3900 MAINE AV,AUTO THEFT,O,,621.0,NORTHWESTERN,Central Forest Park,-76.68309,39.32625,"(39.3262500000, -76.6830900000)",STREET,1,2014-05-31
05/31/2014,20:00:00,6D,6400 EASTBOURNE AV,LARCENY FROM AUTO,O,,243.0,SOUTHEASTERN,Broening Manor,-76.53673,39.27306,"(39.2730600000, -76.5367300000)",STREET,1,2014-05-31
05/31/2014,20:00:00,6D,0 S GAY ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.60889,39.28969,"(39.2896900000, -76.6088900000)",STREET,1,2014-05-31
05/31/2014,19:40:00,4E,4400 PARKWOOD AV,COMMON ASSAULT,I,HANDS,443.0,NORTHEASTERN,Frankford,-76.55283,39.33348,"(39.3334800000, -76.5528300000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,19:40:00,4E,4400 PARKWOOD AV,COMMON ASSAULT,I,HANDS,443.0,NORTHEASTERN,Frankford,-76.55283,39.33348,"(39.3334800000, -76.5528300000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,19:40:00,4E,2000 N FULTON AV,COMMON ASSAULT,I,HANDS,733.0,WESTERN,Penn North,-76.64641,39.3113,"(39.3113000000, -76.6464100000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,19:30:00,6D,5600 PURDUE AV,LARCENY FROM AUTO,O,,414.0,NORTHEASTERN,Woodbourne Heights,-76.59366999999999,39.35892,"(39.3589200000, -76.5936700000)",PARKING LO,1,2014-05-31
05/31/2014,19:30:00,7C,1700 E 30TH ST,AUTO THEFT,I,,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59151,39.32537,"(39.3253700000, -76.5915100000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,19:00:00,6E,2200 PENTLAND DR,LARCENY,O,,423.0,NORTHEASTERN,Hamilton Hills,-76.5697,39.36931,"(39.3693100000, -76.5697000000)",PARKING LO,1,2014-05-31
05/31/2014,19:00:00,6J,600 BALTIC AV,LARCENY,I,,913.0,SOUTHERN,Brooklyn,-76.60008,39.239470000000004,"(39.2394700000, -76.6000800000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,19:00:00,6D,1000 UNION AV,LARCENY FROM AUTO,O,,531.0,NORTHERN,Hampden,-76.63308,39.33351,"(39.3335100000, -76.6330800000)",STREET,1,2014-05-31
05/31/2014,18:31:00,6C,6900 HARFORD RD,LARCENY,I,,424.0,NORTHEASTERN,North Harford Road,-76.54966999999999,39.365970000000004,"(39.3659700000, -76.5496700000)",LIQUOR STO,1,2014-05-31
05/31/2014,18:26:00,4E,1100 W FRANKLIN ST,COMMON ASSAULT,I,HANDS,713.0,WESTERN,Harlem Park,-76.63646,39.294290000000004,"(39.2942900000, -76.6364600000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,18:00:00,3B,3300 LERCH DR,ROBBERY - STREET,O,,426.0,NORTHEASTERN,Waltherson,-76.56201,39.34548,"(39.3454800000, -76.5620100000)",STREET,1,2014-05-31
05/31/2014,18:00:00,4C,1200 GREENMOUNT AV,AGG. ASSAULT,O,OTHER,311.0,EASTERN,Johnston Square,-76.60811,39.30435,"(39.3043500000, -76.6081100000)",STREET,1,2014-05-31
05/31/2014,18:00:00,6F,800 N CAROLINE ST,LARCENY,O,,313.0,EASTERN,Gay Street,-76.59767,39.299859999999995,"(39.2998600000, -76.5976700000)",STREET,1,2014-05-31
05/31/2014,18:00:00,5F,300 TAPLOW RD,BURGLARY,I,,523.0,NORTHERN,Homeland,-76.61444,39.36096,"(39.3609600000, -76.6144400000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,17:18:00,6D,200 N MILTON AV,LARCENY FROM AUTO,O,,221.0,SOUTHEASTERN,Patterson Place,-76.58208,39.29486,"(39.2948600000, -76.5820800000)",STREET,1,2014-05-31
05/31/2014,17:00:00,4F,2600 NORTHSHIRE DR,ASSAULT BY THREAT,I,,923.0,SOUTHERN,Lakeland,-76.64331,39.25695,"(39.2569500000, -76.6433100000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,17:00:00,4F,2600 NORTHSHIRE DR,ASSAULT BY THREAT,I,,923.0,SOUTHERN,Lakeland,-76.64331,39.25695,"(39.2569500000, -76.6433100000)",ROW/TOWNHO,1,2014-05-31
05/31/2014,17:00:00,5A,800 N PATTERSON PK AV,BURGLARY,I,,323.0,EASTERN,Milton-Montford,-76.58519,39.300270000000005,"(39.3002700000, -76.5851900000)",VACANT BUI,1,2014-05-31
05/31/2014,17:00:00,7C,2700 OTTAWA AV,AUTO THEFT,O,,831.0,SOUTHWESTERN,Morrell Park,-76.66042,39.26683,"(39.2668300000, -76.6604200000)",STREET,1,2014-05-31
