date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
11/09/2015,01:00:00,3B,,ROBBERY - STREET,O,,945.0,SOUTHERN,,,,,STREET,1,2015-11-09
11/30/2015,23:00:00,4C,400 ILLCHESTER,AGG. ASSAULT,O,OTHER,513.0,NORTHERN,Harwood,-76.60969,39.32308,"(39.3230800000, -76.6096900000)",OTHER - OU,1,2015-11-30
11/30/2015,23:00:00,4C,29TH ST & GREENMOUNT AV,AGG. ASSAULT,O,OTHER,513.0,NORTHERN,Better Waverly,-76.60944,39.323409999999996,"(39.3234100000, -76.6094400000)",STREET,1,2015-11-30
11/30/2015,23:00:00,6E,6400 EASTBOURNE AVE,LARCENY,O,,243.0,SOUTHEASTERN,Broening Manor,-76.53666,39.27301,"(39.2730100000, -76.5366600000)",STREET,1,2015-11-30
11/30/2015,22:58:00,6G,2600 N HOWARD ST,LARCENY,I,,512.0,NORTHERN,Charles Village,-76.61981,39.31961,"(39.3196100000, -76.6198100000)",APT/CONDO,1,2015-11-30
11/30/2015,22:30:00,4B,1400 W LAFAYETTE AVE,AGG. ASSAULT,O,KNIFE,743.0,WESTERN,Sandtown-Winchester,-76.64023,39.299009999999996,"(39.2990100000, -76.6402300000)",STREET,1,2015-11-30
11/30/2015,22:30:00,6J,1100 E MONUMENT ST,LARCENY,O,,312.0,EASTERN,Oldtown,-76.60246,39.29807,"(39.2980700000, -76.6024600000)",STREET,1,2015-11-30
11/30/2015,22:30:00,7A,1100 JAMES ST,AUTO THEFT,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.63385,39.28332,"(39.2833200000, -76.6338500000)",STREET,1,2015-11-30
11/30/2015,21:55:00,6G,2600 W PATAPSCO AVE,LARCENY,I,,923.0,SOUTHERN,Lakeland,-76.6524,39.25297,"(39.2529700000, -76.6524000000)",ROW/TOWNHO,1,2015-11-30
11/30/2015,21:30:00,6D,5500 DAYWALT AVE,LARCENY FROM AUTO,O,,444.0,NORTHEASTERN,Frankford,-76.53755,39.32759,"(39.3275900000, -76.5375500000)",PARKING LO,1,2015-11-30
11/30/2015,21:30:00,5D,1300 GREENMOUNT AVE,BURGLARY,I,,311.0,EASTERN,Johnston Square,-76.60831999999999,39.305209999999995,"(39.3052100000, -76.6083200000)",CARRY OUT,1,2015-11-30
11/30/2015,21:00:00,6D,2900 RAYSHIRE RD,LARCENY FROM AUTO,O,,923.0,SOUTHERN,Lakeland,-76.64215,39.25328,"(39.2532800000, -76.6421500000)",YARD,1,2015-11-30
