date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
09/30/2015,23:18:00,9S,200 N SPRING CT,SHOOTING,Outside,FIREARM,212.0,SOUTHEASTERN,Dunbar-Broadway,-76.59765,39.2937,"(39.2937000000, -76.5976500000)",Public Hou,1,2015-09-30
09/30/2015,23:39:00,4E,3000 EDMONDSON AVE,COMMON ASSAULT,O,HANDS,814.0,SOUTHWESTERN,Franklintown Road,-76.6669,39.29443,"(39.2944300000, -76.6669000000)",STREET,1,2015-09-30
09/30/2015,23:05:00,3B,2300 POPLAR GROVE ST,ROBBERY - STREET,O,,811.0,SOUTHWESTERN,Walbrook,-76.66609,39.3135,"(39.3135000000, -76.6660900000)",STREET,1,2015-09-30
09/30/2015,23:00:00,7A,3000 FREDERICK AVE,AUTO THEFT,O,,832.0,SOUTHWESTERN,Gwynns Falls,-76.66689000000001,39.28006,"(39.2800600000, -76.6668900000)",STREET,1,2015-09-30
09/30/2015,23:00:00,6J,6300 BROWN AVE,LARCENY,O,,243.0,SOUTHEASTERN,Broening Manor,-76.53759000000001,39.27386,"(39.2738600000, -76.5375900000)",YARD,1,2015-09-30
09/30/2015,23:00:00,6J,0 CUSTOM HOUSE AV,LARCENY,O,,111.0,CENTRAL,Downtown,-76.60981,39.28966,"(39.2896600000, -76.6098100000)",STREET,1,2015-09-30
09/30/2015,23:00:00,7A,2400 BANGER ST,AUTO THEFT,O,,923.0,SOUTHERN,Lakeland,-76.64758,39.2587,"(39.2587000000, -76.6475800000)",STREET,1,2015-09-30
09/30/2015,22:42:00,4E,300 S CALHOUN ST,COMMON ASSAULT,O,HANDS,935.0,SOUTHERN,New Southwest/Mount Clare,-76.63935,39.28434,"(39.2843400000, -76.6393500000)",STREET,1,2015-09-30
09/30/2015,22:42:00,4E,300 S CALHOUN ST,COMMON ASSAULT,O,HANDS,935.0,SOUTHERN,New Southwest/Mount Clare,-76.63935,39.28434,"(39.2843400000, -76.6393500000)",STREET,1,2015-09-30
09/30/2015,22:30:00,7A,2100 E LOMBARD ST,AUTO THEFT,O,,212.0,SOUTHEASTERN,Butcher's Hill,-76.58702,39.290620000000004,"(39.2906200000, -76.5870200000)",DRIVEWAY,1,2015-09-30
09/30/2015,22:20:00,4A,200 N SPRING CT,AGG. ASSAULT,O,FIREARM,212.0,SOUTHEASTERN,Dunbar-Broadway,-76.59765,39.2937,"(39.2937000000, -76.5976500000)",STREET,1,2015-09-30
09/30/2015,22:00:00,7C,3300 CARDENAS AVE,AUTO THEFT,O,,432.0,NORTHEASTERN,Belair-Edison,-76.57505,39.32318,"(39.3231800000, -76.5750500000)",PARKING LO,1,2015-09-30
09/30/2015,22:00:00,4E,2000 WILHELM ST,COMMON ASSAULT,I,HANDS,934.0,SOUTHERN,Carrollton Ridge,-76.64891,39.28358,"(39.2835800000, -76.6489100000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,22:00:00,5A,100 N WOLFE ST,BURGLARY,I,,212.0,SOUTHEASTERN,Washington Hill,-76.59051,39.29286,"(39.2928600000, -76.5905100000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,21:52:00,1F,1800 PENROSE AV,HOMICIDE,Inside,FIREARM,711.0,WESTERN,Franklin Square,-76.64622,39.291290000000004,"(39.2912900000, -76.6462200000)",Dwelling,1,2015-09-30
09/30/2015,21:54:00,6G,4900 EASTERN AV,LARCENY,I,,242.0,SOUTHEASTERN,Greektown,-76.55422,39.28706,"(39.2870600000, -76.5542200000)",HOSP/NURS.,1,2015-09-30
09/30/2015,21:35:00,6J,500 E PRATT ST,LARCENY,O,,112.0,CENTRAL,Inner Harbor,-76.60842,39.28673,"(39.2867300000, -76.6084200000)",STREET,1,2015-09-30
09/30/2015,21:33:00,3K,3000 CLIFTON AVE,ROBBERY - RESIDENCE,I,,811.0,SOUTHWESTERN,Walbrook,-76.66812,39.31118,"(39.3111800000, -76.6681200000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,21:30:00,6J,400 LIGHT ST,LARCENY,I,,112.0,SOUTHERN,Inner Harbor,-76.61296999999999,39.28406,"(39.2840600000, -76.6129700000)",OTHER - IN,1,2015-09-30
09/30/2015,21:15:00,4F,4800 ORVILLE AVE,ASSAULT BY THREAT,I,,433.0,NORTHEASTERN,Armistead Gardens,-76.55853,39.30735,"(39.3073500000, -76.5585300000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,21:15:00,6C,600 E 33RD ST,LARCENY,I,,513.0,NORTHERN,Better Waverly,-76.60813,39.32829,"(39.3282900000, -76.6081300000)",GROCERY/CO,1,2015-09-30
09/30/2015,21:01:00,4E,400 E LORRAINE AVE,COMMON ASSAULT,I,HANDS,513.0,NORTHERN,Harwood,-76.61086999999999,39.32008,"(39.3200800000, -76.6108700000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,21:00:00,6E,800 E 33RD ST,LARCENY,O,,543.0,NORTHERN,Waverly,-76.60464,39.328520000000005,"(39.3285200000, -76.6046400000)",STREET,1,2015-09-30
09/30/2015,21:00:00,6B,0 E NORTH AVE,LARCENY,O,,333.0,EASTERN,Orangeville Industrial Ar,-76.57302,39.313190000000006,"(39.3131900000, -76.5730200000)",STREET,1,2015-09-30
09/30/2015,21:00:00,7A,6300 GREENSPRING AVE,AUTO THEFT,O,,632.0,NORTHWESTERN,Cheswolde,-76.68184000000001,39.37008,"(39.3700800000, -76.6818400000)",PARKING LO,1,2015-09-30
09/30/2015,20:49:00,1F,4700 PARKSIDE DR,HOMICIDE,Outside,FIREARM,442.0,NORTHEASTERN,Parkside,-76.55736999999999,39.322520000000004,"(39.3225200000, -76.5573700000)",Alley,1,2015-09-30
09/30/2015,20:50:00,3AF,5900 RADECKE AVE,ROBBERY - STREET,O,FIREARM,435.0,NORTHEASTERN,,-76.52956,39.331140000000005,"(39.3311400000, -76.5295600000)",STREET,1,2015-09-30
09/30/2015,20:31:00,4B,2800 BOARMAN AVE,AGG. ASSAULT,O,KNIFE,613.0,NORTHWESTERN,Towanda-Grantley,-76.66784,39.33791,"(39.3379100000, -76.6678400000)",STREET,1,2015-09-30
09/30/2015,20:28:00,5A,200 TUNBRIDGE RD,BURGLARY,I,,523.0,NORTHERN,Homeland,-76.61921,39.35649,"(39.3564900000, -76.6192100000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,20:15:00,5A,700 MELVILLE AVE,BURGLARY,I,,543.0,NORTHERN,Waverly,-76.60585999999999,39.33146,"(39.3314600000, -76.6058600000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,20:07:00,5B,100 SAINT ALBANS WAY,BURGLARY,I,,523.0,NORTHERN,Homeland,-76.6224,39.35431,"(39.3543100000, -76.6224000000)",ROW/TOWNHO,1,2015-09-30
09/30/2015,20:00:00,4F,1100 COMET ST,ASSAULT BY THREAT,O,,211.0,SOUTHEASTERN,Pleasant View Gardens,-76.60240999999999,39.29286,"(39.2928600000, -76.6024100000)",STREET,1,2015-09-30
