date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
07/31/2017,23:47:00,4E,400 FURROW ST,COMMON ASSAULT,O,HANDS,841.0,SOUTHWESTERN,Carrollton Ridge,-76.65187,39.28226,"(39.2822600000, -76.6518700000)",STREET,1,2017-07-31
07/31/2017,23:45:00,6B,PACA ST & DRUID HILL AV,LARCENY,,,143.0,CENTRAL,Seton Hill,-76.62264,39.29736,"(39.2973600000, -76.6226400000)",,1,2017-07-31
07/31/2017,23:44:00,4A,5100 MIDWOOD AVE,AGG. ASSAULT,O,FIREARM,524.0,NORTHERN,Winston-Govans,-76.60309000000001,39.34987,"(39.3498700000, -76.6030900000)",YARD,1,2017-07-31
07/31/2017,23:30:00,7A,0 S AUGUSTA AVE,AUTO THEFT,O,,843.0,SOUTHWESTERN,Irvington,-76.68486999999999,39.28575,"(39.2857500000, -76.6848700000)",STREET,1,2017-07-31
07/31/2017,23:26:00,3AJF,900 HOMESTEAD ST,ROBBERY - CARJACKING,O,FIREARM,513.0,NORTHERN,Better Waverly,-76.60441999999999,39.32564,"(39.3256400000, -76.6044200000)",STREET,1,2017-07-31
07/31/2017,23:00:00,7C,1900 BANK ST,AUTO THEFT,O,,212.0,SOUTHEASTERN,Upper Fells Point,-76.58971,39.28679,"(39.2867900000, -76.5897100000)",OTHER - OU,1,2017-07-31
07/31/2017,23:00:00,6D,3000 ROMARIC CT,LARCENY FROM AUTO,O,,632.0,NORTHWESTERN,Cross Country,-76.69398000000001,39.3709,"(39.3709000000, -76.6939800000)",PARKING LO,1,2017-07-31
07/31/2017,23:00:00,6E,1100 E 25TH ST,LARCENY,,,342.0,NORTHEASTERN,East Baltimore Midway,-76.59884,39.31743,"(39.3174300000, -76.5988400000)",,1,2017-07-31
07/31/2017,22:48:00,6C,3500 S HANOVER ST,LARCENY,I,,912.0,SOUTHERN,Brooklyn,-76.60945,39.23877,"(39.2387700000, -76.6094500000)",GROCERY/CO,1,2017-07-31
07/31/2017,22:40:00,4C,2100 EDMONDSON AVE,AGG. ASSAULT,I,OTHER,722.0,WESTERN,Midtown-Edmondson,-76.65125,39.29495,"(39.2949500000, -76.6512500000)",TAVERN/NIG,1,2017-07-31
07/31/2017,22:30:00,3AF,5400 HARFORD RD,ROBBERY - STREET,O,FIREARM,426.0,NORTHEASTERN,Waltherson,-76.56246999999999,39.35107,"(39.3510700000, -76.5624700000)",STREET,1,2017-07-31
07/31/2017,22:23:00,5D,1500 IMLA ST,BURGLARY,,,243.0,SOUTHEASTERN,Broening Manor,-76.53804000000001,39.27621,"(39.2762100000, -76.5380400000)",,1,2017-07-31
07/31/2017,22:18:17,2A,100 W 39TH ST,RAPE,I,OTHER,541.0,NORTHERN,Tuscany-Canterbury,-76.62241,39.33659,"(39.3365900000, -76.6224100000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,22:00:00,6D,3500 ROLAND AVE,LARCENY FROM AUTO,O,,531.0,NORTHERN,Hampden,-76.6326,39.32982,"(39.3298200000, -76.6326000000)",STREET,1,2017-07-31
07/31/2017,22:00:00,5A,6200 YORK RD,BURGLARY,,,522.0,NORTHERN,Lake Walker,-76.60978,39.36936,"(39.3693600000, -76.6097800000)",,1,2017-07-31
07/31/2017,22:00:00,4E,3200 BELAIR RD,COMMON ASSAULT,I,HANDS,434.0,NORTHEASTERN,Belair-Edison,-76.57413000000001,39.32117,"(39.3211700000, -76.5741300000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,22:00:00,7A,5000 DENVIEW WAY,AUTO THEFT,O,,444.0,NORTHEASTERN,Frankford,-76.53336999999999,39.32485,"(39.3248500000, -76.5333700000)",PARKING LO,1,2017-07-31
07/31/2017,21:40:00,3AK,I 95 N & O''DONNELL ST <57009,ROBBERY - STREET,I,KNIFE,233.0,SOUTHEASTERN,Medford,-76.55076,39.280429999999996,"(39.2804300000, -76.5507600000)",RESTAURANT,1,2017-07-31
07/31/2017,21:30:00,5A,6700 HOLABIRD AVE,BURGLARY,I,,243.0,SOUTHEASTERN,Graceland Park,-76.52986999999999,39.2724,"(39.2724000000, -76.5298700000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,21:13:00,4E,300 S DALLAS CT,COMMON ASSAULT,O,HANDS,211.0,SOUTHEASTERN,Perkins Homes,-76.59647,39.28707,"(39.2870700000, -76.5964700000)",OTHER - OU,1,2017-07-31
07/31/2017,21:11:00,7A,5600 THE ALAMEDA,AUTO THEFT,O,,522.0,NORTHERN,Glen Oaks,-76.595,39.35823,"(39.3582300000, -76.5950000000)",PARKING LO,1,2017-07-31
07/31/2017,21:00:00,5D,2700 E NORTHERN PKWY,BURGLARY,I,,424.0,NORTHEASTERN,North Harford Road,-76.5572,39.365140000000004,"(39.3651400000, -76.5572000000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,21:00:00,6D,1400 OLMSTEAD ST,LARCENY FROM AUTO,O,,911.0,SOUTHERN,Curtis Bay,-76.59114,39.22745,"(39.2274500000, -76.5911400000)",STREET,1,2017-07-31
07/31/2017,21:00:00,6J,600 E PRATT ST,LARCENY,O,,112.0,CENTRAL,Inner Harbor,-76.60774,39.2867,"(39.2867000000, -76.6077400000)",OTHER - OU,1,2017-07-31
07/31/2017,20:50:00,6G,200 E PRATT ST,LARCENY,O,,112.0,CENTRAL,Inner Harbor,-76.61134,39.28655,"(39.2865500000, -76.6113400000)",OTHER - OU,1,2017-07-31
07/31/2017,20:34:00,4D,2100 CLIFTON AVE,AGG. ASSAULT,O,HANDS,731.0,WESTERN,Mondawmin,-76.65194,39.31183,"(39.3118300000, -76.6519400000)",STREET,1,2017-07-31
07/31/2017,20:25:00,4C,500 S CENTRAL AVE,AGG. ASSAULT,I,OTHER,211.0,SOUTHEASTERN,Inner Harbor,-76.59911,39.284859999999995,"(39.2848600000, -76.5991100000)",HOTEL/MOTE,1,2017-07-31
07/31/2017,20:22:00,4E,0 S MORLEY ST,COMMON ASSAULT,I,HANDS,842.0,SOUTHWESTERN,Saint Josephs,-76.6754,39.28552,"(39.2855200000, -76.6754000000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,20:00:00,5A,3200 GULFPORT DR,BURGLARY,I,,922.0,SOUTHERN,Cherry Hill,-76.61803,39.2474,"(39.2474000000, -76.6180300000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,19:18:00,3CK,2800 FOSTER AVE,ROBBERY - COMMERCIAL,I,KNIFE,232.0,SOUTHEASTERN,Canton,-76.57703000000001,39.28416,"(39.2841600000, -76.5770300000)",DRUG STORE,1,2017-07-31
07/31/2017,19:15:00,6J,St & Water St,LARCENY,O,,111.0,CENTRAL,Downtown,-76.61015,39.28856,"(39.2885600000, -76.6101500000)",STREET,1,2017-07-31
07/31/2017,19:15:00,4E,ST & S CLINTON ST,COMMON ASSAULT,O,HANDS,232.0,SOUTHEASTERN,Canton,-76.56935,39.27715,"(39.2771500000, -76.5693500000)",PARK,1,2017-07-31
07/31/2017,19:05:00,6C,4400 HARFORD RD,LARCENY,I,,421.0,NORTHEASTERN,Lauraville,-76.57264,39.33974,"(39.3397400000, -76.5726400000)",CONVENIENC,1,2017-07-31
07/31/2017,19:00:00,5A,1500 MOUNTMOR CT,BURGLARY,I,,742.0,WESTERN,Sandtown-Winchester,-76.64447,39.3054,"(39.3054000000, -76.6444700000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,19:00:00,6F,5300 BEAUFORT AVE,LARCENY,O,,633.0,NORTHWESTERN,Arlington,-76.68186,39.34841,"(39.3484100000, -76.6818600000)",PORCH/DECK,1,2017-07-31
07/31/2017,19:00:00,6G,1700 WICKES AVE,LARCENY,I,,831.0,SOUTHWESTERN,Morrell Park,-76.65714,39.26532,"(39.2653200000, -76.6571400000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,18:56:00,4E,ST & FOSTER AV,COMMON ASSAULT,O,HANDS,242.0,SOUTHEASTERN,Greektown,-76.55203,39.28516,"(39.2851600000, -76.5520300000)",PLAYGROUND,1,2017-07-31
07/31/2017,18:45:00,3B,0 COMMERCE ST,ROBBERY - STREET,O,,111.0,CENTRAL,Downtown,-76.61025,39.289640000000006,"(39.2896400000, -76.6102500000)",STREET,1,2017-07-31
07/31/2017,18:45:00,4E,1700 THAMES ST,COMMON ASSAULT,,HANDS,213.0,SOUTHEASTERN,Fells Point,-76.59225,39.28188,"(39.2818800000, -76.5922500000)",,1,2017-07-31
07/31/2017,18:44:00,4A,4600 BELVIEU AVE,AGG. ASSAULT,O,FIREARM,622.0,NORTHWESTERN,Howard Park,-76.69785999999999,39.33872,"(39.3387200000, -76.6978600000)",STREET,1,2017-07-31
07/31/2017,18:30:00,7A,2300 GARRISON BLVD,AUTO THEFT,O,,641.0,NORTHWESTERN,Garwyn Oaks,-76.67669000000001,39.31436,"(39.3143600000, -76.6766900000)",PARKING LO,1,2017-07-31
07/31/2017,18:22:00,4E,1300 N MOUNT ST,COMMON ASSAULT,I,HANDS,743.0,WESTERN,Sandtown-Winchester,-76.6447,39.30407,"(39.3040700000, -76.6447000000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,18:00:00,5A,3300 LAWNVIEW AVE,BURGLARY,I,,434.0,NORTHEASTERN,Belair-Edison,-76.57183,39.31908,"(39.3190800000, -76.5718300000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,18:00:00,6D,1900 HARFORD RD,LARCENY FROM AUTO,,,342.0,EASTERN,East Baltimore Midway,-76.59925,39.31237,"(39.3123700000, -76.5992500000)",,1,2017-07-31
07/31/2017,18:00:00,5A,5900 RADECKE AVE,BURGLARY,,,441.0,NORTHEASTERN,,-76.52959,39.33113,"(39.3311300000, -76.5295900000)",,1,2017-07-31
07/31/2017,18:00:00,7A,GROVE ST & W NORTH AV,AUTO THEFT,O,,813.0,SOUTHWESTERN,Northwest Community Actio,-76.66579,39.309090000000005,"(39.3090900000, -76.6657900000)",STREET,1,2017-07-31
07/31/2017,18:00:00,6D,PAUL PL & E MULBERRY ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.61425,39.29422,"(39.2942200000, -76.6142500000)",PARKING LO,1,2017-07-31
07/31/2017,17:28:00,3B,4400 HAMILTON AVE,ROBBERY - STREET,O,,444.0,NORTHEASTERN,Frankford,-76.54267,39.33997,"(39.3399700000, -76.5426700000)",STREET,1,2017-07-31
07/31/2017,17:20:00,5A,4900 FREDERICK AVE,BURGLARY,I,,833.0,SOUTHWESTERN,Beechfield,-76.69594000000001,39.28134,"(39.2813400000, -76.6959400000)",APT/CONDO,1,2017-07-31
07/31/2017,17:15:00,4A,1900 PENNSYLVANIA AVE,AGG. ASSAULT,I,FIREARM,123.0,CENTRAL,Upton,-76.63699,39.30549,"(39.3054900000, -76.6369900000)",OTHER - IN,1,2017-07-31
07/31/2017,17:02:00,6C,2500 BELAIR RD,LARCENY,I,,434.0,NORTHEASTERN,Belair-Edison,-76.57786999999999,39.31793,"(39.3179300000, -76.5778700000)",DEPARTMENT,1,2017-07-31
07/31/2017,17:00:00,4E,4100 DUANE AVE,COMMON ASSAULT,O,HANDS,913.0,SOUTHERN,Brooklyn,-76.60194,39.227470000000004,"(39.2274700000, -76.6019400000)",STREET,1,2017-07-31
07/31/2017,17:00:00,5A,700 N PATTERSON PARK AVE,BURGLARY,I,,321.0,EASTERN,Middle East,-76.5852,39.29929,"(39.2992900000, -76.5852000000)",APT/CONDO,1,2017-07-31
07/31/2017,17:00:00,6D,1800 BOLTON ST,LARCENY FROM AUTO,O,,132.0,CENTRAL,Bolton Hill,-76.62909,39.309509999999996,"(39.3095100000, -76.6290900000)",STREET,1,2017-07-31
07/31/2017,17:00:00,3AF,300 WASHBURN AVE,ROBBERY - STREET,O,FIREARM,913.0,SOUTHERN,Brooklyn,-76.60721,39.23537,"(39.2353700000, -76.6072100000)",STREET,1,2017-07-31
07/31/2017,17:00:00,5A,1300 N STOCKTON ST,BURGLARY,I,,743.0,WESTERN,Sandtown-Winchester,-76.63832,39.30428,"(39.3042800000, -76.6383200000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,16:59:00,6C,1700 DUNDALK AVE,LARCENY,I,,243.0,SOUTHEASTERN,Graceland Park,-76.53133000000001,39.273579999999995,"(39.2735800000, -76.5313300000)",RETAIL/SMA,1,2017-07-31
07/31/2017,16:56:00,3AF,2900 HURON ST,ROBBERY - STREET,O,FIREARM,923.0,SOUTHERN,Lakeland,-76.64891,39.25699,"(39.2569900000, -76.6489100000)",STREET,1,2017-07-31
07/31/2017,16:33:00,5A,3300 E BALTIMORE ST,BURGLARY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57032,39.29248,"(39.2924800000, -76.5703200000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,16:30:00,5D,200 E LAKE AVE,BURGLARY,I,,522.0,NORTHERN,Lake Evesham,-76.6172,39.36813,"(39.3681300000, -76.6172000000)",GARAGE ON,1,2017-07-31
07/31/2017,16:30:00,6D,1200 S CONKLING ST,LARCENY FROM AUTO,O,,232.0,SOUTHEASTERN,Canton,-76.56671999999999,39.279340000000005,"(39.2793400000, -76.5667200000)",STREET,1,2017-07-31
07/31/2017,16:15:00,6J,700 REEDBIRD AVE,LARCENY,O,,922.0,SOUTHERN,Middle Branch/Reedbird Pa,-76.61728000000001,39.247659999999996,"(39.2476600000, -76.6172800000)",STREET,1,2017-07-31
07/31/2017,16:00:00,4F,5100 CROSSWOOD AVE,ASSAULT BY THREAT,O,,426.0,NORTHEASTERN,Waltherson,-76.55754,39.34336,"(39.3433600000, -76.5575400000)",STREET,1,2017-07-31
07/31/2017,16:00:00,4F,4800 LORELLY AVE,ASSAULT BY THREAT,I,,443.0,NORTHEASTERN,Frankford,-76.54757,39.31624,"(39.3162400000, -76.5475700000)",APT/CONDO,1,2017-07-31
07/31/2017,16:00:00,6D,800 WELLINGTON ST,LARCENY FROM AUTO,O,,531.0,NORTHERN,Hampden,-76.63049000000001,39.330490000000005,"(39.3304900000, -76.6304900000)",STREET,1,2017-07-31
07/31/2017,15:32:00,7A,RD & WILDWOOD PY,AUTO THEFT,,,844.0,SOUTHWESTERN,Edmondson Village,-76.68397,39.29779,"(39.2977900000, -76.6839700000)",,1,2017-07-31
07/31/2017,15:30:00,4E,400 LYNDHURST ST,COMMON ASSAULT,,HANDS,843.0,SOUTHWESTERN,Allendale,-76.68054000000001,39.29181,"(39.2918100000, -76.6805400000)",,1,2017-07-31
07/31/2017,15:30:00,6J,1600 E NORTH AVE,LARCENY,O,,342.0,EASTERN,East Baltimore Midway,-76.59676999999999,39.31207,"(39.3120700000, -76.5967700000)",STREET,1,2017-07-31
07/31/2017,15:20:00,6D,600 W 40TH ST,LARCENY FROM AUTO,O,,541.0,NORTHERN,Roland Park,-76.62735,39.33728,"(39.3372800000, -76.6273500000)",STREET,1,2017-07-31
07/31/2017,15:00:00,4E,2800 ERDMAN AVE,COMMON ASSAULT,I,HANDS,432.0,NORTHEASTERN,Belair-Edison,-76.57625,39.323159999999994,"(39.3231600000, -76.5762500000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,14:42:00,6C,4500 FALLS RD,LARCENY,I,,541.0,NORTHERN,Roland Park,-76.64050999999999,39.34426,"(39.3442600000, -76.6405100000)",CONVENIENC,1,2017-07-31
07/31/2017,14:30:00,3AF,700 N CARROLLTON AVE,ROBBERY - STREET,,FIREARM,713.0,WESTERN,Harlem Park,-76.63717,39.297270000000005,"(39.2972700000, -76.6371700000)",,1,2017-07-31
07/31/2017,14:30:00,6G,2100 E MONUMENT ST,LARCENY,I,,321.0,EASTERN,CARE,-76.58708,39.29862,"(39.2986200000, -76.5870800000)",CONVENIENC,1,2017-07-31
07/31/2017,14:25:00,5A,2300 GROVE ST,BURGLARY,I,,831.0,SOUTHWESTERN,Morrell Park,-76.65281,39.27091,"(39.2709100000, -76.6528100000)",ROW/TOWNHO,1,2017-07-31
07/31/2017,14:00:00,6G,300 N CHARLES ST,LARCENY,I,,111.0,CENTRAL,Downtown,-76.61541,39.29313,"(39.2931300000, -76.6154100000)",RESTAURANT,1,2017-07-31
