date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
08/31/2017,23:44:00,5A,3200 E FAIRMOUNT AVE,BURGLARY,,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57185,39.29354,"(39.2935400000, -76.5718500000)",,1,2017-08-31
08/31/2017,23:20:00,4E,2800 MAYFIELD AVE,COMMON ASSAULT,,HANDS,432.0,NORTHEASTERN,Belair-Edison,-76.57423,39.3232,"(39.3232000000, -76.5742300000)",,1,2017-08-31
08/31/2017,23:05:00,3AF,1900 W LOMBARD ST,ROBBERY - STREET,O,FIREARM,934.0,SOUTHERN,Carrollton Ridge,-76.64695,39.286190000000005,"(39.2861900000, -76.6469500000)",STREET,1,2017-08-31
08/31/2017,23:00:00,5A,0 N BELNORD AVE,BURGLARY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.5783,39.29272,"(39.2927200000, -76.5783000000)",ROW/TOWNHO,1,2017-08-31
08/31/2017,23:00:00,4E,4800 BAYONNE AVE,COMMON ASSAULT,I,HANDS,444.0,NORTHEASTERN,Frankford,-76.53421,39.34091,"(39.3409100000, -76.5342100000)",ROW/TOWNHO,1,2017-08-31
08/31/2017,22:54:00,3AF,LEXINGTON ST & PARK AV,ROBBERY - STREET,,FIREARM,111.0,CENTRAL,Downtown,-76.61803,39.29161,"(39.2916100000, -76.6180300000)",,1,2017-08-31
08/31/2017,22:41:00,4E,2400 MCCULLOH ST,COMMON ASSAULT,,HANDS,733.0,WESTERN,Penn North,-76.63920999999999,39.31261,"(39.3126100000, -76.6392100000)",,1,2017-08-31
08/31/2017,22:20:00,5B,200 S ROBINSON ST,BURGLARY,I,,231.0,SOUTHEASTERN,Highlandtown,-76.57239,39.28911,"(39.2891100000, -76.5723900000)",ROW/TOWNHO,1,2017-08-31
08/31/2017,22:11:00,3AJF,LAFAYETTE AV & HARFORD AV,ROBBERY - CARJACKING,O,FIREARM,343.0,EASTERN,Oliver,-76.59988,39.31045,"(39.3104500000, -76.5998800000)",STREET,1,2017-08-31
08/31/2017,22:10:00,6G,2100 W FAYETTE ST,LARCENY,I,,714.0,WESTERN,Penrose/Fayette Street Ou,-76.65054,39.28938,"(39.2893800000, -76.6505400000)",ROW/TOWNHO,1,2017-08-31
