date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
01/31/2016,23:15:00,7A,2300 ALLENDALE RD,AUTO THEFT,O,,641.0,NORTHWESTERN,Garwyn Oaks,-76.68021,39.31425,"(39.3142500000, -76.6802100000)",STREET,1,2016-01-31
01/31/2016,23:00:00,4E,3700 W BELVEDERE AVE,COMMON ASSAULT,O,HANDS,633.0,NORTHWESTERN,Arlington,-76.68065,39.34608,"(39.3460800000, -76.6806500000)",STREET,1,2016-01-31
01/31/2016,22:40:00,6C,200 E BALTIMORE ST,LARCENY,I,,111.0,CENTRAL,Downtown,-76.61182,39.289629999999995,"(39.2896300000, -76.6118200000)",CONVENIENC,1,2016-01-31
01/31/2016,22:00:00,6E,1200 BEAUMONT AVE,LARCENY,O,,413.0,NORTHEASTERN,New Northwood,-76.59836999999999,39.35085,"(39.3508500000, -76.5983700000)",ALLEY,1,2016-01-31
01/31/2016,21:05:00,9S,4600 DELAWARE AV,SHOOTING,Outside,FIREARM,614.0,NORTHWESTERN,Central Park Heights,-76.66903,39.34408,"(39.3440800000, -76.6690300000)",Street,1,2016-01-31
01/31/2016,21:56:00,6C,3100 PULASKI HWY,LARCENY,I,,224.0,SOUTHEASTERN,Ellwood Park/Monument,-76.57344,39.29545,"(39.2954500000, -76.5734400000)",GROCERY/CO,1,2016-01-31
01/31/2016,21:30:00,6E,3200 THE ALAMEDA,LARCENY,O,,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59492,39.32739,"(39.3273900000, -76.5949200000)",PARKING LO,1,2016-01-31
01/31/2016,21:15:00,6D,100 S PRESIDENT ST,LARCENY FROM AUTO,O,,211.0,SOUTHEASTERN,Jonestown,-76.60464,39.2882,"(39.2882000000, -76.6046400000)",STREET,1,2016-01-31
01/31/2016,21:05:00,4A,4600 DELAWARE AVE,AGG. ASSAULT,O,FIREARM,614.0,NORTHWESTERN,Central Park Heights,-76.66903,39.34408,"(39.3440800000, -76.6690300000)",STREET,1,2016-01-31
01/31/2016,21:00:00,6E,100 S CENTRAL AVE,LARCENY,O,,212.0,SOUTHEASTERN,Washington Hill,-76.59938000000001,39.28944,"(39.2894400000, -76.5993800000)",STREET,1,2016-01-31
