date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
06/30/2016,23:53:00,4B,100 N DECKER AVE,AGG. ASSAULT,I,KNIFE,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57413000000001,39.29408,"(39.2940800000, -76.5741300000)",ROW/TOWNHO,1,2016-06-30
06/30/2016,23:49:00,4E,3000 WEAVER AVE,COMMON ASSAULT,O,HANDS,422.0,NORTHEASTERN,Arcadia,-76.57244,39.3377,"(39.3377000000, -76.5724400000)",STREET,1,2016-06-30
06/30/2016,23:49:00,4E,3000 WEAVER AVE,COMMON ASSAULT,O,HANDS,422.0,NORTHEASTERN,Arcadia,-76.57244,39.3377,"(39.3377000000, -76.5724400000)",STREET,1,2016-06-30
06/30/2016,23:45:00,4E,1000 N PAYSON ST,COMMON ASSAULT,O,HANDS,722.0,WESTERN,Bridgeview/Greenlawn,-76.64936,39.29994,"(39.2999400000, -76.6493600000)",STREET,1,2016-06-30
06/30/2016,23:30:00,7A,3700 FLOWERTON RD,AUTO THEFT,O,,844.0,SOUTHWESTERN,Edgewood,-76.67915,39.29872,"(39.2987200000, -76.6791500000)",STREET,1,2016-06-30
06/30/2016,23:30:00,7A,2200 W PATAPSCO AVE,AUTO THEFT,O,,923.0,SOUTHERN,Lakeland,-76.6461,39.251490000000004,"(39.2514900000, -76.6461000000)",STREET,1,2016-06-30
06/30/2016,23:21:00,4E,1300 DIVISION ST,COMMON ASSAULT,O,HANDS,123.0,CENTRAL,Upton,-76.62983,39.30131,"(39.3013100000, -76.6298300000)",STREET,1,2016-06-30
06/30/2016,23:03:00,4E,1600 CHILTON ST,COMMON ASSAULT,I,HANDS,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59376,39.32755,"(39.3275500000, -76.5937600000)",ROW/TOWNHO,1,2016-06-30
06/30/2016,23:00:00,6D,100 W CENTRE ST,LARCENY FROM AUTO,O,,142.0,CENTRAL,Mount Vernon,-76.61705,39.29632,"(39.2963200000, -76.6170500000)",STREET,1,2016-06-30
06/30/2016,23:00:00,7A,2700 O''DONNELL ST,AUTO THEFT,O,,232.0,SOUTHEASTERN,Canton,-76.57755999999999,39.28028,"(39.2802800000, -76.5775600000)",STREET,1,2016-06-30
06/30/2016,23:00:00,5A,1200 W NORTH AVE,BURGLARY,I,,733.0,WESTERN,Penn North,-76.63772,39.3103,"(39.3103000000, -76.6377200000)",ROW/TOWNHO,1,2016-06-30
06/30/2016,22:40:00,4E,2000 BROENING HWY,COMMON ASSAULT,I,HANDS,233.0,SOUTHEASTERN,Canton Industrial Area,-76.54316999999999,39.26882,"(39.2688200000, -76.5431700000)",OTHER - IN,1,2016-06-30
06/30/2016,22:39:00,4C,1300 W LOMBARD ST,AGG. ASSAULT,I,OTHER,933.0,SOUTHERN,Union Square,-76.63828000000001,39.286570000000005,"(39.2865700000, -76.6382800000)",ROW/TOWNHO,1,2016-06-30
06/30/2016,22:30:00,4E,500 S GILMOR ST,COMMON ASSAULT,O,HANDS,935.0,SOUTHERN,New Southwest/Mount Clare,-76.64205,39.2821,"(39.2821000000, -76.6420500000)",STREET,1,2016-06-30
06/30/2016,22:15:00,4A,1600 POPLAR GROVE ST,AGG. ASSAULT,O,FIREARM,813.0,SOUTHWESTERN,Northwest Community Actio,-76.66563000000001,39.3061,"(39.3061000000, -76.6656300000)",STREET,1,2016-06-30
06/30/2016,22:00:00,6D,400 N MONTFORD AVE,LARCENY FROM AUTO,O,,221.0,SOUTHEASTERN,McElderry Park,-76.58357,39.29595,"(39.2959500000, -76.5835700000)",STREET,1,2016-06-30
06/30/2016,22:00:00,6D,200 E 25TH ST,LARCENY FROM AUTO,O,,512.0,NORTHERN,Charles Village,-76.61418,39.31798,"(39.3179800000, -76.6141800000)",STREET,1,2016-06-30
06/30/2016,22:00:00,6D,200 E 25TH ST,LARCENY FROM AUTO,O,,512.0,NORTHERN,Charles Village,-76.61418,39.31798,"(39.3179800000, -76.6141800000)",STREET,1,2016-06-30
06/30/2016,22:00:00,6D,200 E 25TH ST,LARCENY FROM AUTO,O,,512.0,NORTHERN,Charles Village,-76.61418,39.31798,"(39.3179800000, -76.6141800000)",STREET,1,2016-06-30
06/30/2016,22:00:00,7A,1200 W PRATT ST,AUTO THEFT,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.63675,39.28561,"(39.2856100000, -76.6367500000)",PARKING LO,1,2016-06-30
