date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
05/31/2016,23:38:00,4A,1700 HOMESTEAD AVE,AGG. ASSAULT,O,FIREARM,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59453,39.32029,"(39.3202900000, -76.5945300000)",STREET,1,2016-05-31
05/31/2016,23:38:00,4A,1700 HOMESTEAD AVE,AGG. ASSAULT,O,FIREARM,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.59453,39.32029,"(39.3202900000, -76.5945300000)",STREET,1,2016-05-31
05/31/2016,23:30:00,8AO,1200 MOSHER ST,ARSON,I,,743.0,WESTERN,Sandtown-Winchester,-76.63763,39.300129999999996,"(39.3001300000, -76.6376300000)",ROW/TOWNHO,1,2016-05-31
05/31/2016,23:30:00,4C,5600 LOTHIAN RD,AGG. ASSAULT,I,OTHER,523.0,NORTHERN,Cameron Village,-76.60155999999999,39.358090000000004,"(39.3580900000, -76.6015600000)",APT/CONDO,1,2016-05-31
05/31/2016,23:30:00,4C,1200 MOSHER ST,AGG. ASSAULT,,OTHER,743.0,WESTERN,Sandtown-Winchester,-76.63763,39.300129999999996,"(39.3001300000, -76.6376300000)",,1,2016-05-31
05/31/2016,23:30:00,4E,400 S CHAPELGATE LN,COMMON ASSAULT,I,HANDS,833.0,SOUTHWESTERN,Beechfield,-76.69914,39.27944,"(39.2794400000, -76.6991400000)",ROW/TOWNHO,1,2016-05-31
05/31/2016,23:15:00,3AF,800 PARK AVE,ROBBERY - STREET,O,FIREARM,142.0,CENTRAL,Mount Vernon,-76.61849000000001,39.29875,"(39.2987500000, -76.6184900000)",STREET,1,2016-05-31
05/31/2016,23:12:00,6J,5000 SINCLAIR LN,LARCENY,O,,443.0,NORTHEASTERN,Frankford,-76.5481,39.322109999999995,"(39.3221100000, -76.5481000000)",STREET,1,2016-05-31
05/31/2016,23:00:00,7A,4400 FALLS BRIDGE DR,AUTO THEFT,O,,541.0,NORTHERN,Medfield,-76.6459,39.342420000000004,"(39.3424200000, -76.6459000000)",PARKING LO,1,2016-05-31
05/31/2016,23:00:00,3AF,300 W MADISON ST,ROBBERY - STREET,O,FIREARM,142.0,CENTRAL,Mount Vernon,-76.62014,39.29845,"(39.2984500000, -76.6201400000)",STREET,1,2016-05-31
05/31/2016,23:00:00,6D,200 S LINWOOD AVE,LARCENY FROM AUTO,O,,221.0,SOUTHEASTERN,Patterson Park,-76.57604,39.289390000000004,"(39.2893900000, -76.5760400000)",STREET,1,2016-05-31
