date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
01/31/2013,23:00:00,6G,2700 E FAYETTE ST,LARCENY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57842,39.29452,"(39.2945200000, -76.5784200000)",ROW/TOWNHO,1,2013-01-31
01/31/2013,22:50:00,7A,3600 CLARINTH RD,AUTO THEFT,O,,631.0,NORTHWESTERN,Fallstaff,-76.70135,39.36254,"(39.3625400000, -76.7013500000)",STREET,1,2013-01-31
01/31/2013,22:40:00,6A,200 W BALTIMORE ST,LARCENY,I,,111.0,CENTRAL,Downtown,-76.61825,39.28937,"(39.2893700000, -76.6182500000)",BUS/RAILRO,1,2013-01-31
01/31/2013,22:40:00,6A,200 W BALTIMORE ST,LARCENY,I,,111.0,CENTRAL,Downtown,-76.61825,39.28937,"(39.2893700000, -76.6182500000)",BUS/RAILRO,1,2013-01-31
01/31/2013,22:40:00,3AJF,600 S CHARLES ST,ROBBERY - CARJACKING,O,FIREARM,941.0,SOUTHERN,Otterbein,-76.61475,39.28184,"(39.2818400000, -76.6147500000)",STREET,1,2013-01-31
01/31/2013,22:30:00,5A,5100 WRIGHT AV,BURGLARY,I,,433.0,NORTHEASTERN,Armistead Gardens,-76.55348000000001,39.30597,"(39.3059700000, -76.5534800000)",ROW/TOWNHO,1,2013-01-31
01/31/2013,22:00:00,4E,2300 EDGEMONT AV,COMMON ASSAULT,I,HANDS,732.0,WESTERN,Parkview/Woodbrook,-76.64565,39.31572,"(39.3157200000, -76.6456500000)",ROW/TOWNHO,1,2013-01-31
01/31/2013,22:00:00,5A,3200 RAMONA AV,BURGLARY,I,,432.0,NORTHEASTERN,Belair-Edison,-76.56466,39.3239,"(39.3239000000, -76.5646600000)",ROW/TOWNHO,1,2013-01-31
01/31/2013,21:36:00,9S,5900 RADECKE AV,SHOOTING,Outside,FIREARM,435.0,NORTHEASTERN,,-76.52967,39.33117,"(39.3311700000, -76.5296700000)",,1,2013-01-31
01/31/2013,21:50:00,4C,7000 FIELDCREST RD,AGG. ASSAULT,I,OTHER,631.0,NORTHWESTERN,Fallstaff,-76.70826,39.364129999999996,"(39.3641300000, -76.7082600000)",ROW/TOWNHO,1,2013-01-31
01/31/2013,21:37:00,4A,5900 RADECKE AVE,AGG. ASSAULT,I,FIREARM,,NORTHEASTERN,,-76.52967,39.33117,"(39.3311700000, -76.5296700000)",APT/CONDO,1,2013-01-31
01/31/2013,21:30:00,6D,2500 MCCULLOH ST,LARCENY FROM AUTO,O,,733.0,WESTERN,Penn North,-76.64081999999999,39.31425,"(39.3142500000, -76.6408200000)",STREET,1,2013-01-31
01/31/2013,21:08:00,4E,1700 BARCLAY ST,COMMON ASSAULT,I,HANDS,311.0,EASTERN,Greenmount West,-76.61081999999999,39.3091,"(39.3091000000, -76.6108200000)",ROW/TOWNHO,1,2013-01-31
01/31/2013,21:00:00,5D,2400 E NORTH AV,BURGLARY,I,,332.0,EASTERN,Berea,-76.58295,39.3127,"(39.3127000000, -76.5829500000)",RELIGIOUS,1,2013-01-31
01/31/2013,20:55:00,3B,900 WHITELOCK,ROBBERY - STREET,O,,133.0,CENTRAL,Reservoir Hill,-76.63269,39.31445,"(39.3144500000, -76.6326900000)",STREET,1,2013-01-31
