date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
12/31/2013,23:46:00,4C,1500 CHARLOTTE AV,AGG. ASSAULT,I,OTHER,243.0,SOUTHEASTERN,Broening Manor,-76.54055,39.27531,"(39.2753100000, -76.5405500000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,23:30:00,4E,400 N ROSE ST,COMMON ASSAULT,I,HANDS,221.0,SOUTHEASTERN,McElderry Park,-76.58139,39.29614,"(39.2961400000, -76.5813900000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,23:30:00,5A,5900 CHINQUAPIN PW,BURGLARY,I,,522.0,NORTHERN,Glen Oaks,-76.59685,39.36377,"(39.3637700000, -76.5968500000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,23:20:00,4E,3100 WOODLAND AV,COMMON ASSAULT,I,HANDS,614.0,NORTHWESTERN,Central Park Heights,-76.67053,39.34561,"(39.3456100000, -76.6705300000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,23:15:00,7A,2400 FREDERICK AVE,AUTO THEFT,O,,842.0,SOUTHWESTERN,Shipley Hill,-76.65456999999999,39.28422,"(39.2842200000, -76.6545700000)",STREET,1,2013-12-31
12/31/2013,23:15:00,5A,800 APPLETON ST,BURGLARY,I,,722.0,WESTERN,Midtown-Edmondson,-76.64831,39.298,"(39.2980000000, -76.6483100000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,23:05:00,4E,2000 DRUID HILL AV,COMMON ASSAULT,O,HANDS,131.0,CENTRAL,Druid Heights,-76.63554,39.3076,"(39.3076000000, -76.6355400000)",ALLEY,1,2013-12-31
12/31/2013,23:00:00,6E,3000 HARFORD RD,LARCENY,O,,411.0,NORTHEASTERN,Coldstream Homestead Mont,-76.58596,39.325359999999996,"(39.3253600000, -76.5859600000)",STREET,1,2013-12-31
12/31/2013,23:00:00,6G,800 RYAN ST,LARCENY,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.63122,39.28413,"(39.2841300000, -76.6312200000)",STREET,1,2013-12-31
12/31/2013,23:00:00,6E,400 W FAYETTE ST,LARCENY,O,,111.0,CENTRAL,Downtown,-76.62119,39.290420000000005,"(39.2904200000, -76.6211900000)",STREET,1,2013-12-31
12/31/2013,23:00:00,5B,1400 MOUNTMOR CT,BURGLARY,I,,743.0,WESTERN,Sandtown-Winchester,-76.64435999999999,39.30477,"(39.3047700000, -76.6443600000)",PUBLIC HOU,1,2013-12-31
12/31/2013,23:00:00,3B,1600 N CHESTER ST,ROBBERY - STREET,O,,331.0,EASTERN,Broadway East,-76.58851,39.3089,"(39.3089000000, -76.5885100000)",STREET,1,2013-12-31
12/31/2013,23:00:00,3B,4700 IVANHOE AV,ROBBERY - STREET,O,,524.0,NORTHERN,Wrenlane,-76.60514,39.34451,"(39.3445100000, -76.6051400000)",STREET,1,2013-12-31
12/31/2013,22:30:00,6D,1400 LOMBARD ST,LARCENY FROM AUTO,O,,212.0,SOUTHEASTERN,Washington Hill,-76.59852,39.29019,"(39.2901900000, -76.5985200000)",STREET,1,2013-12-31
12/31/2013,22:30:00,6D,1100 EVANS WY,LARCENY FROM AUTO,O,,433.0,NORTHEASTERN,Armistead Gardens,-76.54644,39.305820000000004,"(39.3058200000, -76.5464400000)",YARD,1,2013-12-31
12/31/2013,22:30:00,6E,2800 ROSLYN AV,LARCENY,O,,641.0,NORTHWESTERN,Garwyn Oaks,-76.6782,39.31943,"(39.3194300000, -76.6782000000)",STREET,1,2013-12-31
12/31/2013,22:29:00,4E,3300 W BALTIMORE ST,COMMON ASSAULT,I,HANDS,842.0,SOUTHWESTERN,Saint Josephs,-76.67244000000001,39.28577,"(39.2857700000, -76.6724400000)",POLICE DEP,1,2013-12-31
12/31/2013,22:29:00,4D,3300 W BALTIMORE ST,AGG. ASSAULT,O,HANDS,842.0,SOUTHWESTERN,Saint Josephs,-76.67244000000001,39.28577,"(39.2857700000, -76.6724400000)",STREET,1,2013-12-31
12/31/2013,22:00:00,5C,3000 FALLSTAFF RD,BURGLARY,I,,632.0,NORTHWESTERN,Cheswolde,-76.69183000000001,39.36929,"(39.3692900000, -76.6918300000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,22:00:00,6E,100 N CONKLING ST,LARCENY,O,,223.0,SOUTHEASTERN,Baltimore Highlands,-76.56766,39.29372,"(39.2937200000, -76.5676600000)",STREET,1,2013-12-31
12/31/2013,21:30:00,6G,800 W FAYETTE ST,LARCENY,I,,712.0,WESTERN,Poppleton,-76.63176,39.29,"(39.2900000000, -76.6317600000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,21:30:00,6E,2900 VIOLET AV,LARCENY,O,,612.0,NORTHWESTERN,Park Circle,-76.66244,39.32954,"(39.3295400000, -76.6624400000)",STREET,1,2013-12-31
12/31/2013,21:30:00,6E,2900 VIOLET AV,LARCENY,O,,612.0,NORTHWESTERN,Park Circle,-76.66244,39.32954,"(39.3295400000, -76.6624400000)",STREET,1,2013-12-31
12/31/2013,21:25:00,4E,4300 NORFOLK AV,COMMON ASSAULT,I,HANDS,641.0,NORTHWESTERN,West Forest Park,-76.68984,39.32265,"(39.3226500000, -76.6898400000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,21:00:00,6D,1800 S HANOVER ST,LARCENY FROM AUTO,O,,943.0,SOUTHERN,South Baltimore,-76.61499,39.26896,"(39.2689600000, -76.6149900000)",STREET,1,2013-12-31
12/31/2013,21:00:00,6E,3200 GULFPORT DR,LARCENY,O,,922.0,SOUTHERN,Cherry Hill,-76.61877,39.24777,"(39.2477700000, -76.6187700000)",PARKING LO,1,2013-12-31
12/31/2013,20:00:00,4E,6500 ST HELENA AV,COMMON ASSAULT,O,HANDS,243.0,SOUTHEASTERN,Saint Helena,-76.53166999999999,39.2599,"(39.2599000000, -76.5316700000)",STREET,1,2013-12-31
12/31/2013,20:00:00,7A,5500 WHITBY RD,AUTO THEFT,O,,441.0,NORTHEASTERN,Cedonia,-76.53063,39.33478,"(39.3347800000, -76.5306300000)",STREET,1,2013-12-31
12/31/2013,20:00:00,6D,1700 HOLBROOK ST,LARCENY FROM AUTO,O,,343.0,EASTERN,Oliver,-76.6033,39.30941,"(39.3094100000, -76.6033000000)",STREET,1,2013-12-31
12/31/2013,20:00:00,6D,3200 NOBLE ST,LARCENY FROM AUTO,O,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57139000000001,39.293,"(39.2930000000, -76.5713900000)",STREET,1,2013-12-31
12/27/2013,17:00:00,5A,,BURGLARY,I,,311.0,EASTERN,,,,,ROW/TOWNHO,1,2013-12-27
12/31/2013,19:48:00,4E,1500 N CAROLINE ST,COMMON ASSAULT,I,HANDS,343.0,EASTERN,Oliver,-76.59816,39.307559999999995,"(39.3075600000, -76.5981600000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,19:45:00,7A,800 WEDGEWOOD RD,AUTO THEFT,O,,823.0,SOUTHWESTERN,West Hills,-76.7062,39.29462,"(39.2946200000, -76.7062000000)",STREET,1,2013-12-31
12/31/2013,19:30:00,6D,800 N GILMOR ST,LARCENY FROM AUTO,O,,713.0,WESTERN,Harlem Park,-76.64294,39.2983,"(39.2983000000, -76.6429400000)",STREET,1,2013-12-31
12/31/2013,19:30:00,7A,2400 MAISEL CT,AUTO THEFT,O,,921.0,SOUTHERN,Westport,-76.64138,39.26313,"(39.2631300000, -76.6413800000)",STREET,1,2013-12-31
12/31/2013,19:10:00,6B,1200 S CLINTON ST,LARCENY,O,,232.0,SOUTHEASTERN,Canton,-76.56945999999999,39.27924,"(39.2792400000, -76.5694600000)",STREET,1,2013-12-31
12/31/2013,19:00:00,5A,2900 WINCHESTER ST,BURGLARY,I,,814.0,SOUTHWESTERN,Franklintown Road,-76.66636,39.30128,"(39.3012800000, -76.6663600000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,19:00:00,5A,2900 WINCHESTER ST,BURGLARY,I,,814.0,SOUTHWESTERN,Franklintown Road,-76.66636,39.30128,"(39.3012800000, -76.6663600000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,19:00:00,5A,2900 WINCHESTER ST,BURGLARY,I,,814.0,SOUTHWESTERN,Franklintown Road,-76.66636,39.30128,"(39.3012800000, -76.6663600000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,19:00:00,5A,2900 WINCHESTER ST,BURGLARY,I,,814.0,SOUTHWESTERN,Franklintown Road,-76.66636,39.30128,"(39.3012800000, -76.6663600000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,19:00:00,5A,5000 CHALGROVE AV,BURGLARY,I,,614.0,NORTHWESTERN,Central Park Heights,-76.67044,39.349340000000005,"(39.3493400000, -76.6704400000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,18:53:00,3AJK,2100 PENNSYLVANIA AV,ROBBERY - CARJACKING,O,KNIFE,131.0,WESTERN,Druid Heights,-76.63891,39.30709,"(39.3070900000, -76.6389100000)",STREET,1,2013-12-31
12/31/2013,18:50:00,4C,1700 E BALTIMORE ST,AGG. ASSAULT,I,OTHER,212.0,SOUTHEASTERN,Washington Hill,-76.59334,39.29152,"(39.2915200000, -76.5933400000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,18:35:00,5B,1300 E BELVEDERE AV,BURGLARY,I,,414.0,NORTHEASTERN,Woodbourne Heights,-76.59167,39.36073,"(39.3607300000, -76.5916700000)",APT/CONDO,1,2013-12-31
12/31/2013,18:30:00,6D,5200 TILBURY WY,LARCENY FROM AUTO,O,,523.0,NORTHERN,Homeland,-76.61498,39.357440000000004,"(39.3574400000, -76.6149800000)",STREET,1,2013-12-31
12/31/2013,18:10:00,4C,3100 BRIGHTON ST,AGG. ASSAULT,I,OTHER,813.0,SOUTHWESTERN,Rosemont,-76.66972,39.30515,"(39.3051500000, -76.6697200000)",ROW/TOWNHO,1,2013-12-31
12/31/2013,18:00:00,3AJF,600 NEWINGTON AVE,ROBBERY - CARJACKING,O,FIREARM,133.0,CENTRAL,Reservoir Hill,-76.62815,39.31462,"(39.3146200000, -76.6281500000)",STREET,1,2013-12-31
12/31/2013,18:00:00,6D,2800 GREENMOUNT AV,LARCENY FROM AUTO,O,,513.0,NORTHERN,Harwood,-76.60948,39.32304,"(39.3230400000, -76.6094800000)",PARKING LO,1,2013-12-31
