date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
06/30/2013,23:24:00,9S,5800 MOORES RUN CT,SHOOTING,Inside,FIREARM,441.0,NORTHEASTERN,Cedonia,-76.53681999999999,39.33453,"(39.3345300000, -76.5368200000)",Dwelling,1,2013-06-30
06/30/2013,23:24:00,9S,5800 MOORES RUN CT,SHOOTING,Inside,FIREARM,441.0,NORTHEASTERN,Cedonia,-76.53681999999999,39.33453,"(39.3345300000, -76.5368200000)",Dwelling,1,2013-06-30
06/30/2013,23:30:00,5A,4200 NICHOLAS AV,BURGLARY,I,,442.0,NORTHEASTERN,Belair-Edison,-76.56319,39.32853,"(39.3285300000, -76.5631900000)",ROW/TOWNHO,1,2013-06-30
06/30/2013,23:24:00,4A,5800 MOORES RUN CT,AGG. ASSAULT,I,FIREARM,441.0,NORTHEASTERN,Cedonia,-76.53681999999999,39.33453,"(39.3345300000, -76.5368200000)",ROW/TOWNHO,1,2013-06-30
06/30/2013,23:05:00,6G,300 LIGHT ST,LARCENY,I,,112.0,CENTRAL,Inner Harbor,-76.6134,39.28544,"(39.2854400000, -76.6134000000)",RESTAURANT,1,2013-06-30
06/30/2013,23:00:00,7A,2400 GILES,AUTO THEFT,O,,922.0,SOUTHERN,Cherry Hill,-76.62918,39.2521,"(39.2521000000, -76.6291800000)",STREET,1,2013-06-30
06/30/2013,23:00:00,4E,1100 RUSSELL ST,COMMON ASSAULT,O,HANDS,941.0,SOUTHERN,Carroll - Camden Industri,-76.62453000000001,39.27896,"(39.2789600000, -76.6245300000)",STREET,1,2013-06-30
06/30/2013,23:00:00,6B,300 W CAMDEN ST,LARCENY,O,,941.0,CENTRAL,Stadium Area,-76.61995,39.28522,"(39.2852200000, -76.6199500000)",STADIUM,1,2013-06-30
06/30/2013,23:00:00,6D,4800 BAYONNE AV,LARCENY FROM AUTO,O,,444.0,NORTHEASTERN,Frankford,-76.53401,39.34094,"(39.3409400000, -76.5340100000)",PARKING LO,1,2013-06-30
06/30/2013,23:00:00,4E,1100 RUSSELL ST,COMMON ASSAULT,O,HANDS,941.0,SOUTHERN,Carroll - Camden Industri,-76.62453000000001,39.27896,"(39.2789600000, -76.6245300000)",STREET,1,2013-06-30
