date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
10/31/2013,19:00:00,7A,2300 W ROGERS AV,AUTO THEFT,O,,533.0,NORTHERN,Mount Washington,-76.66413,39.358270000000005,"(39.3582700000, -76.6641300000)",STREET,1,2013-10-31
10/31/2013,18:45:00,5C,1200 BATTERY AV,BURGLARY,O,,942.0,SOUTHERN,Riverside,-76.60958000000001,39.27572,"(39.2757200000, -76.6095800000)",PARKING LO,1,2013-10-31
10/31/2013,23:45:00,4E,400 N LINWOOD AV,COMMON ASSAULT,I,HANDS,221.0,SOUTHEASTERN,McElderry Park,-76.5765,39.29633,"(39.2963300000, -76.5765000000)",ROW/TOWNHO,1,2013-10-31
10/31/2013,23:40:00,3B,700 E PRATT ST,ROBBERY - STREET,O,,112.0,CENTRAL,Inner Harbor,-76.60645,39.28682,"(39.2868200000, -76.6064500000)",STREET,1,2013-10-31
10/31/2013,23:30:00,3AJF,700 N ROSEDALE ST,ROBBERY - CARJACKING,O,FIREARM,814.0,SOUTHWESTERN,Franklintown Road,-76.66841,39.29594,"(39.2959400000, -76.6684100000)",STREET,1,2013-10-31
10/31/2013,23:30:00,6D,1200 N CHARLES ST,LARCENY FROM AUTO,I,,141.0,CENTRAL,Mid-Town Belvedere,-76.61603000000001,39.30366,"(39.3036600000, -76.6160300000)",GARAGE ON,1,2013-10-31
10/31/2013,23:19:00,4E,4200 E LOMBARD ST,COMMON ASSAULT,I,HANDS,242.0,SOUTHEASTERN,Kresson,-76.56156999999999,39.2916,"(39.2916000000, -76.5615700000)",ROW/TOWNHO,1,2013-10-31
10/31/2013,22:48:00,3NO,1200 N CALVERT ST,ROBBERY - STREET,,OTHER,141.0,CENTRAL,Mid-Town Belvedere,-76.61334000000001,39.30387,"(39.3038700000, -76.6133400000)",,1,2013-10-31
10/31/2013,22:44:00,4E,1000 N MILTON AV,COMMON ASSAULT,I,HANDS,323.0,EASTERN,Biddle Street,-76.58252,39.303020000000004,"(39.3030200000, -76.5825200000)",ROW/TOWNHO,1,2013-10-31
10/31/2013,22:40:00,3BJ,OLIVER ST & GREENMOUNT AV,ROBBERY - CARJACKING,O,,343.0,EASTERN,Greenmount Cemetery,-76.60871999999999,39.30692,"(39.3069200000, -76.6087200000)",STREET,1,2013-10-31
10/31/2013,22:30:00,3B,,ROBBERY - STREET,I,,427.0,NORTHEASTERN,,,,,ROW/TOWNHO,1,2013-10-31
